,TimeEnding,Intensity_Index,Energy,Total_Emissions,SETTLEMENTDATE,METEREDMWFLOW,MWFLOW,INTERCONNECTORID,SETTLEMENTDATE,METEREDMWFLOW.1,MWFLOW,MWLOSSES,New_Energy_N_Q,New_Emissions_N_Q,New_Energy_V_N,New_Emissions_V_N,New_Intensity_Index
1855,2022-03-19 07:00:00,0.6148180031666667,6761.8922347,4152.5740501,2022-03-19 07:00:00,-295.96250000000003,-251.26749999999998,VIC1-NSW1,2022-03-19 07:00:00,351.6991666666667,425.515,15.881666666666666,295.96250000000003,195.0519258823579,351.6991666666667,292.26207661452526,0.6262034279474062
1856,2022-03-19 08:00:00,0.5280200200833334,7309.7942088,3858.417013,2022-03-19 08:00:00,-351.2508333333334,-283.3983333333333,VIC1-NSW1,2022-03-19 08:00:00,-56.8675,-56.8525,1.8008333333333333,351.2508333333334,211.96867104644807,-56.8675,-30.017059744667964,0.5313353879383864
1857,2022-03-19 09:00:00,0.507937522,7579.1338381,3842.6220261,2022-03-19 09:00:00,-303.3925,-282.3508333333333,VIC1-NSW1,2022-03-19 09:00:00,-434.4358333333333,-522.8825,28.94833333333333,303.3925,176.23919421408004,-434.4358333333333,-220.2590345748885,0.5100102077583701
1858,2022-03-19 10:00:00,0.5463033915000001,7013.572889,3822.9924611,2022-03-19 10:00:00,-256.5283333333333,-259.85999999999996,VIC1-NSW1,2022-03-19 10:00:00,-210.02666666666664,-123.31,9.814166666666669,256.5283333333333,150.19437320340796,-210.02666666666664,-114.48235813674015,0.5465529359133374
1859,2022-03-19 11:00:00,0.5699308733333334,6496.9602016,3702.3017903,2022-03-19 11:00:00,-295.47333333333336,-273.0425,VIC1-NSW1,2022-03-19 11:00:00,121.6175,110.39583333333331,4.7941666666666665,295.47333333333336,176.58275602882728,121.6175,88.11641284605919,0.5737592822401169
1860,2022-03-19 12:00:00,0.5672298254166667,6353.3970417,3603.5379944,2022-03-19 12:00:00,-272.00666666666666,-240.47,VIC1-NSW1,2022-03-19 12:00:00,-65.35666666666667,-62.7275,-1.159166666666667,272.00666666666666,160.44334291342966,-65.35666666666667,-37.06918204149441,0.5681227789345435
1861,2022-03-19 13:00:00,0.5767533376666666,6277.3346044,3618.9196758,2022-03-19 13:00:00,-307.68,-245.71583333333334,VIC1-NSW1,2022-03-19 13:00:00,-115.11416666666668,-79.58,0.0166666666666666,307.68,183.1093124332984,-115.11416666666668,-66.36398232162405,0.5773914207589302
1862,2022-03-19 14:00:00,0.582706775,6351.536236,3700.3678102,2022-03-19 14:00:00,-463.0425,-474.8658333333333,VIC1-NSW1,2022-03-19 14:00:00,-264.5725,-317.5408333333333,7.263333333333333,463.0425,281.73946903669275,-264.5725,-154.13838890112245,0.5844221749433416
1863,2022-03-19 15:00:00,0.5957095736666667,6485.8172245,3863.6649221,2022-03-19 15:00:00,-650.6316666666667,-614.8249999999999,VIC1-NSW1,2022-03-19 15:00:00,-193.07416666666663,-127.9,3.1941666666666664,650.6316666666667,420.2225445016368,-193.07416666666663,-115.01617441450442,0.6004099530271769
1864,2022-03-19 16:00:00,0.6267022235,6632.1386906,4158.3529012,2022-03-19 16:00:00,-647.3675000000001,-648.565,VIC1-NSW1,2022-03-19 16:00:00,117.98583333333332,84.53333333333333,-1.2766666666666666,647.3675000000001,431.8628119647108,117.98583333333332,91.93634671386089,0.6329377638705471
