,Location,Location_code,Year,LCOH,Capex,Step,RE_supply_proportion,FLH,EI_market,EI_MEF,EI_AEF,EI_L,Sell_amount,Purchase_amount,Curtailment,LGCs,battery class,battery_energy_capacity,battery_power_capacity,wind_capacity,pv_capacity,electrolyser_capacity,hydrogen_storage_capacity,hydrogen_storage_type,hydrogen_storage_cost,Grid_max_power_export,grid_cost,production_amount,H2_initial_storage_level,Simultaneity_obligation_interval,ratio,Simultaneity_obligation,Batch_interval,,RE factor,EI_market,EI_MEF,EI_AEF,EI_L,EI_MEF-EI_Market,EI_AEF-EI_L,,,,,,
28,SA1,Cell 266,2023,3.666850488,91405860.18,60,0.604042653,5448.451556,-10.15970347,-3.080502081,-2.311244711,-2.552694302,35659941.77,-19559588.26,-9632575.472,-19777.5561,AA,0,0,22499.08904,16241.51788,16289.2729,4344.712886,Pipeline,996.3207817,32383,-3708933.636,1576800,3995.734388,0,1.2,0,1,,2.378289513,-0.257860494,-0.078185332,-0.058661033,-0.064789195,0.179675162,0.006128162,,-6.018915947,-3.080502081,-2.311244711,-2.552694302,-0.152764364
29,SA1,Cell 266,2023,3.693315407,96781886.1,60,0.551633097,5448.451556,-13.51924772,-5.038558858,-3.143596931,-3.656396443,40379949.44,-17318325.8,-12320720.94,-26317.46889,AA,0,0,24374.01312,17594.9777,16289.2729,4287.340073,Pipeline,996.3693666,35082,-4319985.526,1576800,3961.934186,0,1.3,0,1,,2.576480306,-0.343128115,-0.127882205,-0.079786724,-0.09280194,0.21524591,0.013015216,,-7.507311728,-5.038558858,-3.143596931,-3.656396443,-0.190540907
30,SA1,Cell 266,2023,3.72116603,102223730.6,60,0.497344368,5448.451556,-16.83292047,-6.975722469,-3.979980797,-4.736450316,45269195.54,-15395456.11,-15158020.75,-32768.08518,AA,0,0,26248.93721,18948.43753,16289.2729,4296.270183,Pipeline,996.3618043,37780,-4935271.413,1576800,3928.133984,0,1.4,0,1,,2.774671099,-0.427231484,-0.177048794,-0.101014741,-0.120214475,0.25018269,0.019199734,,-8.991970013,-6.975722469,-3.979980797,-4.736450316,-0.228222589
31,SA1,Cell 266,2023,3.750239979,107648281.1,60,0.441192161,5448.451556,-20.10555377,-8.902918502,-4.801024024,-5.794744476,50326266.54,-13777654.19,-18132563.43,-39138.81134,AA,0,0,28123.8613,20301.89735,16289.2729,4287.779587,Pipeline,996.3689944,40479,-5545869.016,1576800,3894.333782,0,1.5,0,1,,2.972861891,-0.510293243,-0.225962399,-0.121853402,-0.147074733,0.284330844,0.025221331,,-10.47444943,-8.902918502,-4.801024024,-5.794744476,-0.26584897
32,TAS1,Cell 20,2023,3.586293034,24494269.58,60,1,5352.354113,37.5661476,9.978055719,8.776194595,6.853885714,0,-90060058.29,1.09E-10,73128.76733,AA,0,0,0,0,16581.7344,2224.215133,Pipeline,998.1164755,16827,4410096.666,1576800,1864.215133,0,0,0,1,,0,0.953455523,0.253250145,0.222746056,0.17395649,-0.700205378,0.048789566,,7.167450986,9.978055719,0.181915,,
33,TAS1,Cell 20,2023,3.583020243,28527024.93,60,0.982596179,5352.354113,33.65038703,8.877405655,8.079861596,6.167078667,1567389.159,-82602802.85,8.83E-11,65506.08675,AA,0,0,1908.73681,0,16581.7344,2197.751687,Pipeline,998.1388855,16827,3904335.74,1576800,1847.312182,0,0.1,0,1,,0.115110806,0.854070737,0.225314864,0.205072629,0.156524839,-0.628755873,0.04854779,,6.308557093,8.877405655,0.160115662,,
34,TAS1,Cell 20,2023,3.580233956,32573967.17,60,0.963737601,5352.354113,29.7219736,7.777935265,7.381081387,5.48027162,3265793.754,-75276562.84,1.28E-10,57858.77527,AA,0,0,3817.473621,0,16581.7344,2185.528857,Pipeline,998.1492361,16827,3398085.279,1576800,1844.649848,0,0.2,0,1,,0.230221612,0.754364812,0.197409524,0.187337091,0.139093188,-0.556955288,0.048243903,,5.437905212,7.777935265,0.138017899,,
35,TAS1,Cell 20,2023,3.578126211,36631286.77,60,0.942719214,5352.354113,25.77477505,6.665030934,6.679397047,4.793464573,5158710.955,-68144835.45,1.28E-10,50174.89543,AA,0,0,5726.210431,0,16581.7344,2183.722062,Pipeline,998.1507662,16827,2892203.591,1576800,1852.403549,0,0.3,0,1,,0.345332418,0.654182108,0.169163222,0.169527844,0.121661537,-0.485018886,0.047866306,,4.549796788,6.665030934,0.115477076,,
36,TAS1,Cell 20,2023,3.57657833,40684095.3,60,0.919690601,5352.354113,21.8100924,5.573817748,5.975776655,4.106657526,7232669.167,-61194149.06,-1.81E-10,42456.97987,AA,0,0,7634.947242,0,16581.7344,2177.387499,Pipeline,998.1561304,16827,2388087.156,1576800,1855.629481,0,0.4,0,1,,0.460443224,0.553555645,0.141467456,0.151669458,0.104229886,-0.412088189,0.047439572,,3.645440828,5.573817748,0.092523879,,
37,TAS1,Cell 20,2023,3.575643361,44718155.98,60,0.894115551,5352.354113,17.82326191,4.456773591,5.276952286,3.419850479,9535959.613,-54472794.91,1.24E-09,34695.94985,AA,0,0,9543.684052,0,16581.7344,2152.236268,Pipeline,998.1774292,16827,1887446.468,1576800,1840.038746,0,0.5,0,1,,0.57555403,0.452367054,0.113116081,0.133932799,0.086798236,-0.339250973,0.047134564,,2.720503435,4.456773591,0.069048311,,
