,Location,Location_code,Year,LCOH,Capex,Step,RE_supply_proportion,FLH,EI_market,EI_MEF,EI_AEF,EI_L,Sell_amount,Purchase_amount,Curtailment,LGCs,battery class,battery_energy_capacity,battery_power_capacity,wind_capacity,pv_capacity,electrolyser_capacity,hydrogen_storage_capacity,hydrogen_storage_type,hydrogen_storage_cost,Grid_max_power_export,grid_cost,production_amount,H2_initial_storage_level,Simultaneity_obligation_interval,ratio,Simultaneity_obligation,Batch_interval
10,QLD1,Cell 1375,2022,2.7969947977149343,100886525.70306611,60,0.6302723185229826,5242.078116373222,-6.385377679165479,0.4333756358919629,-2.862930517239068,-3.5075994331000167,33394431.30003244,-25818016.524536505,-1546239.739432046,-12430.201882108797,AA,0,0,19490.659467661564,19162.810228680497,16930.55927734148,120000.0,Lined Rock,135.20962596339757,30600.0,-6736547.599572446,1576800.0,21519.004667329133,0,1.0,0,1
11,QLD1,Cell 1375,2022,2.3942443722017384,107078380.73408666,60,0.5590246625471619,5242.078116373216,-10.951683758776857,-2.8782727088254756,-6.839310229604436,-7.885800988516748,39830923.65588395,-22797593.520687606,-2030849.4811472425,-21319.277717085613,AA,0,0,21439.72541442772,21079.091251548547,16930.55927734148,120000.0,Lined Rock,135.20962596339757,33660.0,-8417030.12514182,1576800.0,21775.545524540452,0,1.1,0,1
12,QLD1,Cell 1375,2022,1.9941015064511003,113270235.76510724,60,0.4818611081637912,5242.078116373208,-15.53884033803974,-6.183034024047404,-10.78915898891451,-12.229667288649402,46803640.81813624,-20387559.474653788,-2586840.835134871,-30248.94252471736,AA,0,0,23388.791361193882,22995.3722744166,16930.55927734148,120000.0,Lined Rock,135.20962596339757,36720.0,-10091638.936091768,1576800.0,21831.089802845916,0,1.2000000000000002,0,1
13,QLD1,Cell 1375,2022,1.5960567528001206,119462090.79612778,60,0.400271838809094,5242.078116373208,-20.130218500275102,-9.486284719060896,-14.707759228705616,-16.53547779923018,54175107.050939046,-18458475.004602026,-3228252.1286163456,-39186.8253472022,AA,0,0,25337.857307960036,24911.653297284647,16930.55927734148,120000.0,Lined Rock,135.20962596339757,39780.0,-11761521.599672075,1576800.0,21902.780791491554,0,1.3,0,1
14,QLD1,Cell 1375,2022,1.1993786507867665,125653945.82714835,60,0.31598854473281396,5242.078116373206,-24.7326959181206,-12.795196634800211,-18.61413036830544,-20.82754491875182,61789718.81228955,-16802221.787785042,-3900260.5434955847,-48146.3147206081,AA,0,0,27286.923254726193,26827.934320152697,16930.55927734148,120000.0,Lined Rock,135.20962596339757,42840.0,-13428325.782820662,1576800.0,22029.327860695794,0,1.4000000000000001,0,1
15,QLD1,Cell 1375,2022,0.8038704820125062,131845800.8581689,60,0.2291050198232466,5242.078116373208,-29.34898688267979,-16.095196791043087,-22.51173613042645,-25.1097910076286,69638988.40877879,-15401839.832301477,-4594130.449749531,-57132.694464949986,AA,0,0,29235.989201492346,28744.215343020747,16930.55927734148,120000.0,Lined Rock,135.20962596339757,45900.0,-15092494.60778153,1576800.0,21802.296659471296,0,1.5,0,1
16,SA1,Cell 266,2022,5.351682564224057,38116218.940156385,60,1.0,5446.041427475927,37.667553640865954,23.097136158611136,9.984529335635006,14.317473104385586,0.0,-90303166.36398077,0.0,73326.17108755239,AA,0,0,0.0,0.0,16296.48166794362,120000.00000000003,Lined Rock,135.2096259633976,16582.0,6879717.049464466,1576800.0,36471.260012424274,0,0.0,0,1
17,SA1,Cell 266,2022,5.132157038565608,43560514.19319183,60,0.9759876484648969,5446.041427475971,33.456443775829776,20.84772793717387,8.810384121244516,12.796423591722766,2168370.495149551,-82877973.3728631,4.253086771655035e-11,65128.54388361528,AA,0,0,1875.757522733252,1362.394032195215,16296.48166794362,119999.99999999994,Lined Rock,135.2096259633976,16582.0,5706752.127892404,1576800.0,36709.38722687503,0,0.1,0,1
18,SA1,Cell 266,2022,4.912762645297327,49004809.4462273,60,0.951232526494473,5446.04142747596,29.238794987995462,18.584151119749652,7.644315272374848,11.275348961313505,4403764.734211989,-75519645.7030088,1.106412739204643e-10,56918.18757663116,AA,0,0,3751.515045466504,2724.78806439043,16296.48166794362,120000.0,Lined Rock,135.20962596339757,16582.0,4534082.591395794,1576800.0,36195.607770929295,0,0.2,0,1
19,SA1,Cell 266,2022,4.693475000909192,54449104.69926277,60,0.9260975845468117,5446.04142747598,25.01786710788246,16.33394285658538,6.47610425186934,9.754285281836951,6673411.017157556,-68195639.14675952,-5.274003456179344e-12,48701.447970011184,AA,0,0,5627.272568199757,4087.1820965856455,16296.48166794362,120000.00000000004,Lined Rock,135.20962596339754,16582.0,3361653.514376633,1576800.0,36218.81274339281,0,0.30000000000000004,0,1
20,SA1,Cell 266,2022,4.474279717121791,59893399.95229823,60,0.9005630201881669,5446.0414274759605,20.793437867716555,14.071237826646511,5.3053037481872245,8.233213419700533,8979089.607815534,-60907613.28855142,-1.2993162101793132e-10,40477.89238248822,AA,0,0,7503.030090933008,5449.57612878086,16296.48166794362,120000.0,Lined Rock,135.20962596339757,16582.0,2189432.486207812,1576800.0,36264.00562031124,0,0.4,0,1
