,Location,Location_code,Year,LCOH,Capex,Step,RE_supply_proportion,FLH,EI_market,EI_MEF,EI_AEF,EI_L,Sell_amount,Purchase_amount,Curtailment,LGCs,battery class,battery_energy_capacity,battery_power_capacity,wind_capacity,pv_capacity,electrolyser_capacity,hydrogen_storage_capacity,hydrogen_storage_type,hydrogen_storage_cost,Grid_max_power_export,grid_cost,production_amount,H2_initial_storage_level,Simultaneity_obligation_interval,ratio,Simultaneity_obligation,Batch_interval,Capacity factor,Unnamed: 0,wind_capex+wind_OM,pv_capex+pv_OM,hydrogen_storage_capex,electrolyser_capex+electrolyser_OM,wind_OM,pv_OM,electrolyser_OM,grid_electricity_cost,LCOH_sum
240,SA1,Cell 129,2021,4.808619528152931,83507254.30328278,60,1.0,5306.215400900451,-0.0,0.0,0.0,-0.0,0.0,0.0,-1975855.1358575567,-0.0,AA,0,0,19254.0628873821,4680.794423831796,16725.916228477163,94940.9011239207,Lined Rock,158.97907134907763,0,0.0,1576800.0,76539.32957100935,0,1,0,1,0.43997553951886,,,,,,,,,,
241,SA1,Cell 130,2021,5.276539797331967,91595852.52231182,60,1.0,5187.656620613443,-0.0,0.0,0.0,-0.0,0.0,0.0,-4563389.591819212,-0.0,AA,0,0,19696.003470045434,11659.106571259908,17108.170562611074,77025.61300114241,Lined Rock,185.32365833331565,0,0.0,1576800.0,50118.093942858606,0,1,0,1,0.34523957589369036,,,,,,,,,,
242,SA1,Cell 131,2021,5.2275916354429,90804633.19572866,60,1.0,5411.59559923817,-0.0,0.0,0.0,-0.0,0.0,0.0,-6163960.973196395,-0.0,AA,0,0,18877.50212928919,13803.17874524033,16400.21185215951,68495.15193443003,Lined Rock,202.7118220600852,0,0.0,1576800.0,52555.167198717536,0,1,0,1,0.3368083304425879,,,,,,,,,,
243,SA1,Cell 155,2021,4.688710024689391,81387741.81564002,60,1.0,5206.487106609185,-0.0,0.0,0.0,-0.0,0.0,0.0,-493344.740469732,-0.0,AA,0,0,19624.466297886906,1173.6500036092857,17046.294837271562,103957.9012750701,Lined Rock,149.1216233460937,0,0.0,1576800.0,89916.06080233218,0,1,0,1,0.4982295428269976,,,,,,,,,,
244,SA1,Cell 156,2021,4.852994882017415,84292795.14624043,60,1.0,5332.903360195778,-0.0,0.0,0.0,-0.0,0.0,0.0,-2488768.987696957,-0.0,AA,0,0,19157.2901478188,5802.2057590714,16642.213123183858,92876.56185614722,Lined Rock,161.49931196751388,0,0.0,1576800.0,71163.659263503,0,1,0,1,0.4242345036376666,,,,,,,,,,
245,SA1,Cell 157,2021,5.315533551216205,92354118.6049528,60,1.0,5361.027305126623,-0.0,0.0,0.0,-0.0,0.0,0.0,-5598184.665578397,-0.0,AA,0,0,19056.353061366968,14520.836210525147,16554.908086523545,72757.77900848138,Lined Rock,193.5121316759617,0,0.0,1576800.0,55623.17418450648,0,1,0,1,0.3258942108468926,,,,,,,,,,
246,SA1,Cell 158,2021,5.186377445414895,90131751.12917036,60,1.0,5421.767449329903,-0.0,0.0,0.0,-0.0,0.0,0.0,-5619978.658786343,-0.0,AA,0,0,18841.9291705161,12914.447272824864,16369.44319636636,77104.24004579328,Lined Rock,185.18072318928688,0,0.0,1576800.0,62713.41494303377,0,1,0,1,0.3446387126838719,,,,,,,,,,
247,SA1,Cell 160,2021,5.147384578832415,89514702.53084937,60,1.0,5523.526312194032,-0.0,0.0,0.0,-0.0,0.0,0.0,-5630600.546486489,-0.0,AA,0,0,18493.26992113598,13264.533905758077,16067.872092829526,80507.0421945125,Lined Rock,179.28576957602772,0,0.0,1576800.0,54167.53468796778,0,1,0,1,0.344500971722289,,,,,,,,,,
248,SA1,Cell 186,2021,4.886286914203122,84843867.21630925,60,1.0,5217.0473114382,-0.0,0.0,0.0,-0.0,0.0,0.0,-2036237.8141444917,-0.0,AA,0,0,19584.574002305657,4801.0853365242565,17011.790192342654,97614.73623531016,Lined Rock,155.86637436052692,0,0.0,1576800.0,80389.43054480983,0,1,0,1,0.43208173524260773,,,,,,,,,,
249,SA1,Cell 187,2021,5.017989326685497,87255580.56796463,60,1.0,5517.305320882301,-0.0,0.0,0.0,-0.0,0.0,0.0,-4494561.628914237,-0.0,AA,0,0,18514.21598427919,10882.107387631731,16085.989287162252,85244.4538535491,Lined Rock,171.86657515635272,0,0.0,1576800.0,61095.31062207997,0,1,0,1,0.36777620908949654,,,,,,,,,,
250,SA1,Cell 188,2021,5.0083683481036605,87006783.27791697,60,1.0,5553.225485196828,-0.0,0.0,0.0,-0.0,0.0,0.0,-4873115.816632218,-0.0,AA,0,0,18393.91969049584,11746.719147238007,15981.939599301928,68267.42619040085,Lined Rock,203.22853198818004,0,0.0,1576800.0,61811.1753281654,0,1,0,1,0.3602731693590666,,,,,,,,,,
