,Location,Location_code,Year,LCOH,Capex,Step,RE_supply_proportion,FLH,EI_market,EI_MEF,EI_AEF,EI_L,Sell_amount,Purchase_amount,Curtailment,LGCs,battery class,battery_energy_capacity,battery_power_capacity,wind_capacity,pv_capacity,electrolyser_capacity,hydrogen_storage_capacity,hydrogen_storage_type,hydrogen_storage_cost,Grid_max_power_export,grid_cost,production_amount,H2_initial_storage_level,Simultaneity_obligation_interval,ratio,Simultaneity_obligation,Batch_interval,RE factor,EI_market,EI_MEF,EI_AEF,EI_L,EI_MEF-EI_market,EI_AEF-EI_L,,,,,
30,SA1,Cell 266,2021,4.403978169,98761686.36,60,0.46931229,5393.155055,-17.76200626,-9.064735325,-4.950049996,-4.996923817,47793766.09,-16277168.19,-12145715.58,-34576.70552,AA,0,0,26519.26827,16458.23778,16456.28827,2685.496049,Pipeline,997.7258506,36104,-2983644.626,1576800,0,0,1.4,0,1,2.611616018,-0.450812342,-0.230069424,-0.125635787,-0.126825478,0.220742917,0.001189691,,-9.490120133,-4.996923817,-9.064735325,-0.240865993
31,SA1,Cell 266,2021,4.511957945,104041502.5,60,0.407734992,5393.155055,-21.29617095,-11.51864732,-6.144982522,-6.136691179,53339421.15,-14634082.54,-14508572.86,-41456.54613,AA,0,0,28413.50171,17633.8262,16456.28827,2681.252489,Pipeline,997.7294442,38683,-3397785.718,1576800,0,0,1.5,0,1,2.79816002,-0.540511953,-0.292351455,-0.155964023,-0.155753583,0.248160498,-0.00021044,,-11.09706499,-6.136691179,-11.51864732,-0.281651396
32,TAS1,Cell 20,2021,2.940261405,23161127.89,60,1,5415.777114,37.5661476,14.53533506,6.670426698,6.853885714,0,-90060058.29,0,73128.76733,AA,0,0,0,0,16387.54927,1148.850648,Pipeline,999.0271228,16630,3114221.166,1576800,1148.850648,0,0,0,1,0,0.953455523,0.368917134,0.16930017,0.17395649,-0.584538389,-0.00465632,7.167450986,14.53533506,6.853885714,0.181915,-90060058.29
33,TAS1,Cell 20,2021,3.010878443,27157157.4,60,0.987506333,5415.777114,33.69315075,13.05524325,6.090881553,6.167089113,1125180.361,-82160731.31,0,65589.33346,AA,0,0,1886.286237,0,16387.54927,1133.474128,Pipeline,999.040144,16630,2779567.826,1576800,1133.474128,0,0.1,0,1,0.11510484,0.85515611,0.331351352,0.154590902,0.156525104,-0.523804759,-0.001934202,6.348254069,13.05524325,6.167089113,0.1611232,-82160731.31
34,TAS1,Cell 20,2021,3.082012105,31146594.9,60,0.973657239,5415.777114,29.80836496,11.61634863,5.50839743,5.480292512,2372430.629,-74383474.23,0,58026.95045,AA,0,0,3772.572475,0,16387.54927,1111.493525,Pipeline,999.0587578,16630,2446814.891,1576800,1111.493525,0,0.2,0,1,0.23020968,0.756557486,0.294831184,0.139807041,0.139093719,-0.461726303,0.000713322,5.518101981,11.61634863,5.480292512,0.14005335,-74383474.23
35,TAS1,Cell 20,2021,3.153851344,35157971.21,60,0.95777051,5415.777114,25.90585668,10.16840451,4.928641172,4.79349591,3803190.303,-66789726.56,0,50430.06767,AA,0,0,5658.858712,0,16387.54927,1111.493525,Pipeline,999.0587578,16630,2113199.604,1576800,1084.831663,0,0.3,0,1,0.34531452,0.657509053,0.258081333,0.125092416,0.121662333,-0.39942772,0.003430083,4.671480832,10.16840451,4.79349591,0.118565503,-66789726.56
36,TAS1,Cell 20,2021,3.22656827,39169347.52,60,0.938788912,5415.777114,21.97643052,8.71384051,4.350158254,4.106699309,5512674.168,-59474703.09,0,42780.78474,AA,0,0,7545.14495,0,16387.54927,1111.493525,Pipeline,999.0587578,16630,1781561.368,1576800,1026.442218,0,0.4,0,1,0.46041936,0.557777424,0.221163465,0.110410108,0.104230947,-0.33661396,0.006179161,3.799845566,8.71384051,4.106699309,0.096442781,-59474703.09
37,TAS1,Cell 20,2021,3.300196177,43180723.83,60,0.917313248,5415.777114,18.02531202,7.241658219,3.758467019,3.419902708,7446773.722,-52384295.3,0,35089.27406,AA,0,0,9431.431187,0,16387.54927,1111.493525,Pipeline,999.0587578,16630,1451975.182,1576800,968.0527719,0,0.5,0,1,0.5755242,0.457495229,0.183798432,0.095392564,0.086799561,-0.273696797,0.008593003,2.908052152,7.241658219,3.419902708,0.07380843,-52384295.3
38,TAS1,Cell 20,2021,3.374923222,47189297.47,60,0.891846643,5415.777114,14.03948198,5.819813232,3.170916478,2.733106106,9740297.678,-45653311.92,0,27330.1916,AA,0,0,11317.71742,0,16387.54927,1108.685564,Pipeline,999.0611356,16630,1125178.091,1576800,909.6633263,0,0.6,0,1,0.69062904,0.35633203,0.147710996,0.080480114,0.069368175,-0.208621034,0.011111939,1.984002177,5.819813232,2.733106106,0.050355385,-45653311.92
39,TAS1,Cell 20,2021,3.451600824,51214150.93,60,0.858870046,5415.777114,9.988333198,4.356369136,2.605726147,2.046309505,12710171.85,-39598678.74,0,19443.95529,AA,0,0,13204.00366,0,16387.54927,1122.188229,Pipeline,999.0497012,16630,800955.4551,1576800,900,0,0.7,0,1,0.80573388,0.253510995,0.110567745,0.066135181,0.051936789,-0.14294325,0.014198392,0.999253115,4.356369136,2.046309505,0.025361754,-39598678.74
40,TAS1,Cell 20,2021,3.530197142,55265362.25,60,0.818867116,5415.777114,5.876072301,2.854701406,2.029682109,1.359512904,16312838.08,-34176837.63,0,11438.75408,AA,0,0,15090.2899,0,16387.54927,1162.100441,Pipeline,999.0159025,16630,478109.3118,1576800,900,0,0.8,0,1,0.92083872,0.149138891,0.07245435,0.051514774,0.034505404,-0.07668454,0.01700937,-0.042285904,2.854701406,1.359512904,-0.001073246,-34176837.63
