,grid_interaction,CP_grid_out,CP_grid_in,grid_pout,grid_pin,pv_pout,wind_pout,curtail_wind,curtail_solar,CP_wind,CP_pv,CP_el,el_pin,el_pout,h2_storage_p,h2_storage_level,price,CO2,Mean_CO2,Load,Time
6162,1446.5292236713487,-1446.5292236713487,0.0,0.0,1446.5292236713487,-754.4933291102733,-4303.35729765161,0.0,0.0,4303.35729765161,754.4933291102733,-3611.3214030905347,3611.3214030905347,-62.20287849811452,62.202878498108475,74598.735542755,0.1923465941666667,-250.3543334723866,-1002.6968795165046,0.0,2021-09-14 18:00:00
6163,0.0,0.0,0.0,0.0,0.0,0.0,-5529.005563629703,0.0,0.0,5529.005563629703,0.0,-5529.005563629703,5529.005563629703,-95.23385567275571,95.23385567276273,74693.96939842777,0.10184918333333333,0.0,0.0,0.0,2021-09-14 19:00:00
6164,-1446.5292236713487,0.0,1446.5292236713487,-1446.5292236713487,0.0,0.0,-7071.696856628204,0.0,0.0,7071.696856628204,0.0,-8518.226080299553,8518.226080299553,-146.7214137846872,146.7214137846895,74840.69081221246,0.0869820275,818.0300174259879,1021.2735314678057,0.0,2021-09-14 20:00:00
6165,-1446.5292236713487,0.0,1446.5292236713487,-1446.5292236713487,0.0,0.0,-6671.244688073826,0.0,0.0,6671.244688073826,0.0,-8117.773911745175,8117.773911745175,-139.82386166883913,139.82386166883225,74980.51467388129,0.07765409666666666,637.5684790570026,1025.739801587553,0.0,2021-09-14 21:00:00
6166,-1446.5292236713487,0.0,1446.5292236713487,-1446.5292236713487,0.0,0.0,-2789.791780287629,0.0,0.0,2789.791780287629,0.0,-4236.321003958978,4236.321003958978,-72.96812752882097,72.9681275288167,75053.48280141011,0.07801367666666667,739.0225723713747,1034.1354195919816,0.0,2021-09-14 22:00:00
6167,-1446.5292236713487,0.0,1446.5292236713487,-1446.5292236713487,0.0,0.0,-2953.0027308902286,0.0,0.0,2953.0027308902286,0.0,-4399.531954561578,4399.531954561578,-75.77933976853112,75.77933976853092,75129.26214117864,0.0654935775,1067.298500235686,1055.7953465342887,0.0,2021-09-14 23:00:00
6168,-1446.5292236713487,0.0,1446.5292236713487,-1446.5292236713487,0.0,0.0,-2082.42740538182,0.0,0.0,2082.42740538182,0.0,-3528.9566290531684,3528.9566290531684,-60.78419390593548,-3439.215806094042,71690.0463350846,0.06521014166666667,1179.7480426163702,1062.9167077842335,3500.0,2021-09-15 00:00:00
6169,-1446.5292236713487,0.0,1446.5292236713487,-1446.5292236713487,0.0,0.0,-1409.8419858928673,0.0,0.0,1409.8419858928673,0.0,-2856.371209564216,2856.371209564216,-49.199307251352145,49.19930725135782,71739.24564233595,0.0516932075,1000.4060921906126,1053.5466101745612,0.0,2021-09-15 01:00:00
6170,-1446.5292236713487,0.0,1446.5292236713487,-1446.5292236713487,0.0,0.0,-994.8637518827426,0.0,0.0,994.8637518827426,0.0,-2441.392975554091,2441.392975554091,-42.051552236413976,42.051552236414864,71781.29719457237,0.04985131416666667,1094.5950056184026,1056.1032795769245,0.0,2021-09-15 02:00:00
6171,-1446.5292236713487,0.0,1446.5292236713487,-1446.5292236713487,0.0,0.0,-611.241910749143,0.0,0.0,611.241910749143,0.0,-2057.7711344204918,2057.7711344204918,-35.4438925712191,35.443892571216566,71816.74108714359,0.046806469999999996,1277.8079146561838,1049.2301531085543,0.0,2021-09-15 03:00:00
