,grid_interaction,CP_grid_out,CP_grid_in,grid_pout,grid_pin,pv_pout,wind_pout,curtail_wind,curtail_solar,CP_wind,CP_pv,CP_el,el_pin,el_pout,h2_storage_p,h2_storage_level,price,CO2,Mean_CO2,Load
4426,-1446.5292236713487,0.0,1446.5292236713487,-1446.5292236713487,0.0,-2171.1925273323086,-3072.589594856773,0.0,0.0,3072.589594856773,2171.1925273323086,-6690.31134586043,6690.31134586043,-115.23666196117867,115.23666196117867,73830.59504176877,0.0,0.0,874.6307391506799,0.0
4427,-1446.5292236713487,0.0,1446.5292236713487,-1446.5292236713487,0.0,-2416.5113599037177,-2017.8672353750874,0.0,0.0,2017.8672353750874,2416.5113599037177,-5880.907818950154,5880.907818950154,-101.29516420435797,101.29516420435797,73931.89020597313,0.0,237.1415984847286,893.4523227340737,0.0
4428,-1446.5292236713487,0.0,1446.5292236713487,-1446.5292236713487,0.0,-2515.013093788877,-1811.5498885589752,0.0,0.0,1811.5498885589752,2515.013093788877,-5773.092206019201,5773.092206019201,-99.43810394225986,99.43810394225986,74031.32830991538,0.0,285.6143592933648,908.8689209367792,0.0
4429,-1446.5292236713487,0.0,1446.5292236713487,-1446.5292236713487,0.0,-2511.490025999465,-1483.1860060038869,0.0,0.0,1483.1860060038869,2511.490025999465,-5441.2052556747,5441.2052556747,-93.72154721880635,93.72154721880635,74125.04985713419,0.0009648858333333333,205.3132794171552,876.1264013065065,0.0
4430,-1446.5292236713487,0.0,1446.5292236713487,-1446.5292236713487,0.0,-2312.2360833713105,-1001.4898685676894,0.0,0.0,1001.4898685676894,2312.2360833713105,-4760.2551756103485,4760.2551756103485,-81.99258422557195,81.99258422557195,74207.04244135975,0.010387690000000002,506.67101461532263,886.3680664052453,0.0
4431,-1446.5292236713487,0.0,1446.5292236713487,-1446.5292236713487,0.0,-893.6549193664861,-3636.7998126215257,0.0,0.0,3636.7998126215257,893.6549193664861,-5976.983955659361,5976.983955659361,-102.95001892129804,102.95001892129804,74309.99246028105,0.03613218,950.5775422132415,912.6513224270095,0.0
4432,-1446.5292236713487,0.0,1446.5292236713487,-1446.5292236713487,0.0,-345.74515896151485,-4975.903035777769,0.0,0.0,4975.903035777769,345.74515896151485,-6768.1774184106325,6768.1774184106325,-116.5778590769548,116.5778590769548,74426.570319358,0.05328261333333333,550.9140721399799,972.6421806688206,0.0
4433,0.0,0.0,0.0,0.0,0.0,-215.7993154594925,-4036.442893529298,0.0,0.0,4036.442893529298,215.7993154594925,-4252.2422089887905,4252.2422089887905,-73.24236088317306,73.24236088317306,74499.81268024117,0.11323353666666666,0.0,0.0,0.0
4434,0.0,0.0,0.0,0.0,0.0,-0.7005715351920883,-4556.028612502514,0.0,0.0,4556.028612502514,0.7005715351920883,-4556.729184037707,4556.729184037707,-78.4869692132479,78.4869692132479,74578.29964945443,0.14779724083333334,0.0,0.0,0.0
4435,0.0,0.0,0.0,0.0,0.0,0.0,-6487.325544780696,0.0,0.0,6487.325544780696,0.0,-6487.325544780696,6487.325544780696,-111.74035141108482,111.74035141108482,74690.04000086553,0.10550298500000001,0.0,0.0,0.0
4436,0.0,0.0,0.0,0.0,0.0,0.0,-7023.239842841921,0.0,0.0,7023.239842841921,0.0,-7023.239842841921,7023.239842841921,-120.97115871036773,120.97115871036773,74811.0111595759,0.12006934416666666,0.0,0.0,0.0
4437,-1446.5292236713487,0.0,1446.5292236713487,-1446.5292236713487,0.0,0.0,-11176.007811747819,0.0,0.0,11176.007811747819,0.0,-12622.537035419167,12622.537035419167,-217.41574618094037,217.41574618094037,75028.42690575683,0.07894982333333332,630.1506474236227,1034.076971011626,0.0
4438,-1446.5292236713487,0.0,1446.5292236713487,-1446.5292236713487,0.0,0.0,-11383.168722973967,0.0,0.0,11383.168722973967,0.0,-12829.697946645316,12829.697946645316,-220.98397053769,220.98397053769,75249.41087629451,0.06943088083333333,318.7667685293539,1029.3478606252766,0.0
4439,-1446.5292236713487,0.0,1446.5292236713487,-1446.5292236713487,0.0,0.0,-6014.16607426277,0.0,0.0,6014.16607426277,0.0,-7460.695297934119,7460.695297934119,-128.50607058449515,128.50607058449515,75377.916946879,0.04900959333333334,889.9823633591576,1018.0804455011229,0.0
4440,-1446.5292236713487,0.0,1446.5292236713487,-1446.5292236713487,0.0,0.0,-5882.998894898237,0.0,0.0,5882.998894898237,0.0,-7329.528118569608,7329.528118569608,-126.24679338087435,-3373.7532066191256,72004.16374025989,0.04680065,1120.9587040946478,1014.5762423193509,3500.0
4441,-1446.5292236713487,0.0,1446.5292236713487,-1446.5292236713487,0.0,0.0,-9071.8158211397,0.0,0.0,9071.8158211397,0.0,-10518.345044811049,10518.345044811049,-181.17228177578087,181.17228177578087,72185.33602203567,0.03910416,820.7516944661448,1016.5526130175382,0.0
4442,-1446.5292236713487,0.0,1446.5292236713487,-1446.5292236713487,0.0,0.0,-11702.984046474532,0.0,0.0,11702.984046474532,0.0,-13149.51327014588,13149.51327014588,-226.49260061767018,226.49260061767018,72411.82862265334,0.03870759333333334,1087.0357667126013,1009.1422294425868,0.0
4443,-699.4994633465521,0.0,699.4994633465521,-699.4994633465521,0.0,0.0,-13765.792773366935,0.0,0.0,13765.792773366935,0.0,-14465.292236713487,14465.292236713487,-249.15611628197442,249.15611628197442,72660.98473893531,0.038662891666666664,592.5021128266559,488.82001465643503,0.0
4444,-1446.5292236713487,0.0,1446.5292236713487,-1446.5292236713487,0.0,0.0,-12712.50149462104,0.0,0.0,12712.50149462104,0.0,-14159.030718292388,14159.030718292388,-243.88094249027242,243.88094249027242,72904.86568142558,0.048775007499999995,1260.0122626376226,1031.291802066975,0.0
4445,-1446.5292236713487,0.0,1446.5292236713487,-1446.5292236713487,0.0,0.0,-10892.903685693953,0.0,0.0,10892.903685693953,0.0,-12339.432909365301,12339.432909365301,-212.53944479713857,212.53944479713857,73117.40512622271,0.05615681,595.9682671899438,1051.4192547339624,0.0
4446,0.0,0.0,0.0,0.0,0.0,0.0,-9451.657413156014,0.0,0.0,9451.657413156014,0.0,-9451.657413156014,9451.657413156014,-162.79921725416364,162.79921725416364,73280.20434347689,0.12092154166666667,0.0,0.0,0.0
4447,1446.5292236713487,-1446.5292236713487,0.0,0.0,1446.5292236713487,0.0,-13044.01864746599,0.0,0.0,13044.01864746599,0.0,-11597.489423794641,11597.489423794641,-199.75990641378564,199.75990641378564,73479.96424989068,0.16828132583333333,-670.5883068980843,-1015.1740036448585,0.0
4448,1446.5292236713487,-1446.5292236713487,0.0,0.0,1446.5292236713487,-521.6711761063301,-5084.523558322993,0.0,0.0,5084.523558322993,521.6711761063301,-4159.6655107579745,4159.6655107579745,-71.64778192742574,71.64778192742574,73551.61203181809,0.15798971,-419.530816775512,-926.9795745835718,0.0
4449,-1446.5292236713487,0.0,1446.5292236713487,-1446.5292236713487,0.0,-3953.480485494222,-4470.556004308294,0.0,0.0,4470.556004308294,3953.480485494222,-9870.565713473865,9870.565713473865,-170.01466534034708,170.01466534034708,73721.62669715844,0.0752707125,684.1043474813915,899.1203970579907,0.0
4450,-1446.5292236713487,0.0,1446.5292236713487,-1446.5292236713487,0.0,-4532.897267237536,-1136.764370682324,0.0,0.0,1136.764370682324,4532.897267237536,-7116.190861591209,7116.190861591209,-122.57218511599031,122.57218511599031,73844.19888227443,0.03625500833333333,1287.6424199909393,897.876618071529,0.0
4451,-1446.5292236713487,0.0,1446.5292236713487,-1446.5292236713487,0.0,-4467.625758786372,-1012.0097823850085,0.0,0.0,1012.0097823850085,4467.625758786372,-6926.16476484273,6926.16476484273,-119.29909781963363,119.29909781963363,73963.49798009406,0.03449951166666667,1098.8377745570501,892.1876901001473,0.0
4452,-1446.5292236713487,0.0,1446.5292236713487,-1446.5292236713487,0.0,-4264.257814976864,-620.001133863326,0.0,0.0,620.001133863326,4264.257814976864,-6330.7881725115385,6330.7881725115385,-109.04408761707866,109.04408761707866,74072.54206771114,0.025846662499999996,1252.64441738864,879.7550602463604,0.0
4453,-1446.5292236713487,0.0,1446.5292236713487,-1446.5292236713487,0.0,-4144.841538697417,-1729.7148749828007,0.0,0.0,1729.7148749828007,4144.841538697417,-7321.085637351566,7321.085637351566,-126.10137662761063,126.10137662761063,74198.64344433876,0.041134572499999994,1167.40303518541,882.5429431209232,0.0
4454,-1446.5292236713487,0.0,1446.5292236713487,-1446.5292236713487,0.0,-3716.396674744576,-2749.9976078807126,0.0,0.0,2749.9976078807126,3716.396674744576,-7912.923506296638,7912.923506296638,-136.29543440963698,136.29543440963698,74334.93887874839,0.048437683333333335,911.3288393306442,897.2854380923566,0.0
4455,-1446.5292236713487,0.0,1446.5292236713487,-1446.5292236713487,0.0,-3957.6526372802414,-2935.4008965279286,0.0,0.0,2935.4008965279286,3957.6526372802414,-8339.582757479518,8339.582757479518,-143.64438804713737,143.64438804713737,74478.58326679553,0.0517509675,1293.8799771994825,911.8185166171969,0.0
4456,1446.5292236713487,-1446.5292236713487,0.0,0.0,1446.5292236713487,-1871.6080179460134,-3515.7168876421874,0.0,0.0,3515.7168876421874,1871.6080179460134,-3940.7956819168526,3940.7956819168526,-67.87787837947334,67.87787837947334,74546.461145175,0.1663196633333333,-119.22770131246149,-965.1902449391987,0.0
