,Location,Year,LCOH,Capex,Step,RE_supply_proportion,FLH,EI_market,EI_MEF,EI_AEF,EI_L,Sell_amount,Purchase_amount,Curtailment,LGCs,wind_capacity,pv_capacity,electrolyser_capacity,hydrogen_storage_capacity,hydrogen_storage_type,hydrogen_storage_cost,Grid_max_power_export,grid_cost,production_amount,H2_initial_storage_level,Simultaneity_obligation_interval,ratio,Simultaneity_obligation,Batch_interval,,EI_market,EI_MEF,EI_AEF,EI_L,LGCs,Ratio,Location
23,TAS1,2021,3.423020335,53780398.7,60,0.537899995,5154.425214,9.787691259,4.777137238,2.613359718,2.045458292,14739431.46,-41616753.42,0,19053.37232,13876.4675,0,17218.46968,1142.237453,Pipeline,999.032723,17473,388584.8881,1576800,1142.237453,0,0.7,0,1,,0.24841856,0.121247138,0.066328927,0.051915185,0.30668958,0.805905969,TAS1
24,TAS1,2021,3.489305974,58022458.8,60,0.592973277,5154.425214,5.629997723,3.36960393,2.042924822,1.358540089,18805633.6,-36656850.37,0,10959.7289,15858.82,0,17218.46968,1168.678469,Pipeline,999.010332,17473,14278.58533,1576800,1168.678469,0,0.8,0,1,,0.142893343,0.085522942,0.051850884,0.034480713,0.176411535,0.921035394,TAS1
25,TAS1,2021,3.557614155,62298669.22,60,0.641703206,5154.425214,1.417132353,1.986928945,1.486392571,0.671621886,23443118.56,-32268230.14,0,2758.684314,17841.1725,0,17218.46968,1229.341252,Pipeline,998.9589612,17473,-359288.1829,1576800,1172.481206,0,0.9,0,1,,0.035967826,0.050429669,0.0377257,0.017046241,0.044404724,1.036164818,TAS1
26,TAS1,2021,3.627988144,66544055.03,60,0.682768174,5154.425214,-2.860836874,0.53870079,0.941442038,-0.015064797,28767868.16,-28569916.72,-3042.170574,-5569.095782,19823.525,0,17218.46968,1259.118979,Pipeline,998.9337446,17525,-724756.8421,1576800,1162.756895,0,1,0,1,,-0.072610073,0.013672609,0.023894468,-0.000382355,-0.089642065,1.151294242,TAS1
27,TAS1,2021,3.709386449,70773489.22,60,0.700963693,5154.425214,-7.303251218,-0.884033281,0.382283871,-0.696645737,36085152.25,-26931227.27,-73173.82096,-14216.9957,21805.8775,0,17218.46968,1272.911926,Pipeline,998.9220644,19277,-1063609.812,1576800,1153.032585,0,1.1,0,1,,-0.185361706,-0.022437393,0.009702636,-0.017681364,-0.228841612,1.266423666,TAS1
28,TAS1,2021,3.79170892,74976275.82,60,0.716602542,5154.425214,-11.7296117,-2.278165891,-0.182851238,-1.372553979,43558150.88,-25522791.59,-217844.7001,-22833.64411,23788.23,0,17218.46968,1260,Pipeline,998.9329985,21029,-1397403.095,1576800,1143.308274,0,1.2,0,1,,-0.297705881,-0.057821469,-0.004640894,-0.034836395,-0.367538124,1.38155309,TAS1
29,TAS1,2021,3.874795039,79195662.01,60,0.730755646,5154.425214,-16.19072511,-3.659190754,-0.745773621,-2.051696376,51207452.64,-24248162.25,-320018.7923,-31517.94489,25770.5825,0,17218.46968,1263.723321,Pipeline,998.9298455,22782,-1731331.255,1576800,1133.583964,0,1.3,0,1,,-0.410932109,-0.092872862,-0.018928264,-0.052073512,-0.507323592,1.496682515,TAS1
30,TAS1,2021,3.95846632,83410283.81,60,0.743130635,5154.425214,-20.65981004,-5.062056209,-1.31056832,-2.729728584,59002303.59,-23133670,-436780.7753,-40217.76355,27752.935,0,17218.46968,1262.672042,Pipeline,998.9307358,24534,-2063408.86,1576800,1123.859653,0,1.4,0,1,,-0.524360661,-0.128478584,-0.033263155,-0.069282451,-0.647358841,1.611811939,TAS1
31,TAS1,2021,4.042666967,87623288.3,60,0.754151103,5154.425214,-25.13761668,-6.432339754,-1.873844522,-3.407307554,66913187.29,-22141166.03,-559498.2988,-48934.56047,29735.2875,0,17218.46968,1260,Pipeline,998.9329985,26287,-2394113.295,1576800,1114.135343,0,1.5,0,1,,-0.638010576,-0.163257354,-0.047559506,-0.086479887,-0.787667377,1.726941363,TAS1
32,SA1,2021,3.093707515,24031139.19,60,0,5540.32541,37.5661476,28.89160079,13.63269637,14.27892857,0,-90060058.29,0,73128.76733,0,0,16019.15189,2517.981523,Pipeline,997.8677064,16256,3382326.537,1576800,0,0,0,0,1,,0.953455523,0.73328936,0.346007522,0.362409355,1.177105584,0,SA1
33,SA1,2021,3.092815914,29037314.46,60,0.083305116,5540.32541,33.38789281,25.91990889,11.93209421,12.7657163,2041668.904,-82557594.72,-2.34E-11,64995.09801,1843.694242,1036.965121,16019.15189,2495.575353,Pipeline,997.8866805,16256,2757145.004,1576800,0,0,0.1,0,1,,0.847408447,0.657865708,0.302845031,0.324002952,1.046183268,0.17982596,SA1
