,Location,Year,LCOH,Capex,Step,RE_supply_proportion,FLH,EI_market,EI_MEF,EI_AEF,EI_L,Sell_amount,Purchase_amount,Curtailment,LGCs,wind_capacity,pv_capacity,electrolyser_capacity,hydrogen_storage_capacity,hydrogen_storage_type,hydrogen_storage_cost,Grid_max_power_export,grid_cost,production_amount,H2_initial_storage_level,Simultaneity_obligation_interval,ratio,Simultaneity_obligation,Batch_interval,Ratio,EI_market,EI_MEF,EI_AEF,EI_L,LGCs (per REC/MWh),EI_MEF-EI_Market
32,SA1,2021,2.996652955,22921751.43,60,0,5546.02329,37.5661476,28.9628509,13.23734867,14.27892857,0,-90060058.29,0,73128.76733,0,0,16002.69412,2392.838521,Pipeline,595.6659448,16239,3288560.329,1576800,0,0,0,1,24,0,1.128112541,0.869755282,0.397517978,0.428796654,-1.392731532,-0.258357259
33,SA1,2021,2.996958036,27925505.52,60,0.081002548,5546.02329,33.37187472,25.99491291,11.54629244,12.76695354,2241234.709,-82764964.07,-4.11E-11,64963.91611,1836.953497,1047.386321,16002.69412,2355.857426,Pipeline,595.8777976,16239,2666336.339,1576800,0,0,0.1,1,24,0.180240889,1.0021584,0.780628015,0.346735509,0.383391998,-1.237232592,-0.221530385
34,SA1,2021,2.997710345,32964832.2,60,0.160500228,5546.02329,29.16451311,23.04084624,9.841843644,11.25497851,4617998.005,-75605398.44,-8.22E-11,56773.58553,3673.906994,2094.772642,16002.69412,2379.97672,Pipeline,595.739626,16239,2041144.437,1576800,0,0,0.2,1,24,0.360481778,0.875811205,0.691917305,0.29555086,0.337987343,-1.081248401,-0.1838939
35,SA1,2021,2.998846131,37971173.85,60,0.238409991,5546.02329,24.94334048,20.07358327,8.15010166,9.743003473,7137769.127,-68588840.63,-2.11E-10,48556.36947,5510.860491,3142.158963,16002.69412,2347.447119,Pipeline,595.9259776,16239,1420502.502,1576800,0,0,0.3,1,24,0.540722668,0.749049264,0.602810308,0.244747798,0.292582687,-0.924752177,-0.146238956
36,SA1,2021,3.000455657,42987980.71,60,0.313932726,5546.02329,20.70140648,17.09631188,6.443373093,8.231028441,9872516.134,-61787258.72,-1.64E-10,40298.73794,7347.813988,4189.545284,16002.69412,2332.896693,Pipeline,596.0093323,16239,799758.1891,1576800,0,0,0.4,1,24,0.720963557,0.621663858,0.513402759,0.193494687,0.247178031,-0.767486245,-0.108261099
37,SA1,2021,3.002486634,48015778.11,60,0.388342971,5546.02329,16.44979651,14.1442228,4.734592501,6.719053408,12707453.99,-55085867.64,-1.22E-10,32022.27054,9184.767485,5236.931605,16002.69412,2337.211723,Pipeline,595.9846128,16239,178735.0058,1576800,0,0,0.5,1,24,0.901204446,0.493987883,0.424751435,0.142179955,0.201773376,-0.609861584,-0.069236448
38,SA1,2021,3.004975686,53026209.14,60,0.460578549,5546.02329,12.17927219,11.16834949,3.031414831,5.207078375,15738242.61,-48580327.33,-4.22E-10,23708.98319,11021.72098,6284.317926,16002.69412,2311.724697,Pipeline,596.1306198,16239,-439315.5988,1576800,0,0,0.6,1,24,1.081445335,0.36574391,0.335385871,0.091033478,0.15636872,-0.451535691,-0.030358039
39,SA1,2021,3.008601669,58027987.26,60,0.529883171,5546.02329,7.883255645,8.205497959,1.330930279,3.695103343,19032993.2,-42338749,-2.06E-10,15346.07099,12858.67448,7331.704247,16002.69412,2271.415132,Pipeline,596.3615403,17007,-1053838.201,1576800,0,0,0.7,1,24,1.261686225,0.236734404,0.24641135,0.039967876,0.110964064,-0.292264696,0.009676946
40,SA1,2021,3.016222726,63067882.96,60,0.587427955,5546.02329,3.484956955,5.258011695,-0.392608252,2.18312831,23386835.56,-37156262.43,-3.29E-10,6784.049539,14695.62798,8379.090568,16002.69412,2296.470301,Pipeline,596.2180073,19437,-1663621.345,1576800,0,0,0.8,1,24,1.441927114,0.104653362,0.157898249,-0.011790038,0.065559409,-0.129201681,0.053244887
41,SA1,2021,3.02626246,68089965.96,60,0.639148885,5546.02329,-0.963995177,2.292389197,-2.098961283,0.671153277,28265174.54,-32498272.49,-1.35E-10,-1876.577278,16532.58147,9426.476889,16002.69412,2290.98169,Pipeline,596.2494498,21866,-2265965.634,1576800,0,0,0.9,1,24,1.622168003,-0.028948804,0.068840516,-0.06303187,0.020154753,0.035739264,0.09778932
