,Location,Year,LCOH,Capex,Step,RE_supply_proportion,FLH,EI_market,EI_MEF,EI_AEF,EI_L,Sell_amount,Purchase_amount,Curtailment,LGCs,wind_capacity,pv_capacity,electrolyser_capacity,hydrogen_storage_capacity,hydrogen_storage_type,hydrogen_storage_cost,Grid_max_power_export,grid_cost,production_amount,H2_initial_storage_level,Simultaneity_obligation_interval,ratio,Simultaneity_obligation,Batch_interval
22,SA1,2021,2.522388977947633,85604140.2453099,60,0.6661584683808284,5975.236690573601,-18.61317621357494,-10.42916688653239,-9.96178161764038,-4.848630389102304,60647069.38596093,-30065787.795814794,-6073345.056751604,-36233.64969575931,30871.744907529555,0.0,14853.188062947635,0.0,Pipeline,1000.0,27291.0,-5495041.12226764,1576800.0000000044,0.0,0,0,1,720
23,SA1,2021,2.4121740392363162,85604140.2453099,60,0.6472166922212622,5899.31813876518,-18.627252274919872,-9.452747931543758,-9.748002680608739,-4.802126817946262,62059659.52692552,-31771685.260777473,-5871066.695202909,-36261.05109517421,30751.00440399277,0.0,15044.334310860484,0.0,Pipeline,1000.0,27184.0,-5750502.302582482,1576799.9999998636,0.0,0,0,1,8760
24,NSW1,2021,6.039918845436939,104924448.14933527,60,1.0,4747.456023021585,-0.0,0.0,0.0,-0.0,0.0,0.0,-7855301.961850954,-0.0,21530.026202381756,17509.500557435418,18694.499507807413,100000.0,Lined Rock,153.22724743060004,0.0,0.0,1576800.0,65134.45972609512,0,0,1,1
25,NSW1,2021,6.016985848169052,104566297.13606393,60,1.0,4822.917514031958,-0.0,0.0,0.0,-0.0,0.0,0.0,-7864546.220228674,-0.0,21140.982832372516,18316.565762409733,18401.99713710597,100000.0,Lined Rock,153.2272474306001,0.0,0.0,1576799.9999999998,61730.5731936151,0,0,1,24
26,NSW1,2021,5.891127454114929,102225235.08484213,60,1.0,4805.64691857432,-0.0,0.0,0.0,-0.0,0.0,0.0,-5791490.091381245,-0.0,21199.61589030469,16735.105298441744,18468.130470151966,81044.35948314502,Lined Rock,178.38937693345989,0.0,0.0,1576800.0000000002,54097.24898741393,0,0,1,720
27,NSW1,2021,5.173877907179727,87767782.29267326,60,1.0,4805.646918574321,-0.0,0.0,0.0,-0.0,0.0,0.0,-5922898.6792133255,-0.0,21199.61589030487,16735.105298441857,18468.13047015211,0.0,Pipeline,1000.0,0.0,0.0,1576800.0000000128,0.0,0,0,1,8760
28,NSW1,2021,3.6070390308528157,17944305.508102126,60,0.0,7128.423480567253,37.5661476,35.8770229075712,40.121930225152994,38.83868571428571,0.0,-90060058.28571427,0.0,73128.76732799999,0.0,0.0,12450.342565597939,2040.8163265305338,Pipeline,597.6825664698852,12634.0,5409537.430627002,1576800.0,0.0,0,0,1,1
29,NSW1,2021,3.595942801348943,18169116.79324911,60,0.0,7033.874165486563,37.566147600000086,35.9830410487991,40.09685398059933,38.838685714285795,0.0,-90060058.28571427,0.0,73128.76732799999,0.0,0.0,12617.70003239388,2040.8163265305338,Pipeline,597.6825664698872,12804.0,5350477.497779133,1576799.9999999963,0.0,0,0,1,24
30,NSW1,2021,3.463978428260433,17368828.74125848,60,0.0,6864.000000000072,37.5661476,36.22587094992315,40.045678818888156,38.83868571428572,0.0,-90060058.28571387,0.0,73128.76732799967,0.0,0.0,12929.970029969836,0.0,Pipeline,1000.0,13121.0,5125968.3356856825,1576799.9999999928,0.0,0,0,1,720
31,NSW1,2021,3.3292796181589988,17636041.49112207,60,0.0,6759.999999999999,37.56614760000001,36.83641969701711,40.02329554008793,38.83868571428572,0.0,-90060058.28570311,0.0,73128.76732799094,0.0,0.0,13128.892645814092,0.0,Pipeline,1000.0,13323.0,4782059.812704486,1576799.9999998042,0.0,0,0,1,8760
32,VIC1,2021,5.73622834134425,99665575.16673155,60,0.9999999999999999,4899.968653682362,-0.0,0.0,0.0,-0.0,0.0,0.0,-5235672.1801347155,-0.0,20857.300813007154,14657.386250472995,18112.62898978284,100000.0,Lined Rock,153.22724743060002,0.0,0.0,1576800.0,85959.35323941121,0,0,1,1
33,VIC1,2021,5.730063573849754,99539843.9186334,60,0.9999999999999999,4880.483915908587,-0.0,0.0,0.0,-0.0,0.0,0.0,-5004007.575211676,-0.0,20874.54247029017,14414.42173840988,18184.94145558344,99999.99999999325,Lined Rock,153.22724743060772,0.0,0.0,1576800.0000000002,85953.07955894026,0,0,1,24
34,VIC1,2021,5.700939733196408,98931965.05172771,60,0.9999999999999999,4810.47789890688,-0.0,0.0,0.0,-0.0,0.0,0.0,-4570399.290468329,-0.0,21178.325920872125,13272.914953352616,18449.583627830827,91423.49520583534,Lined Rock,163.33529662527636,0.0,0.0,1576800.0000000014,81456.3362221453,0,0,1,720
35,VIC1,2021,4.927120837085128,82949359.61852463,60,1.0,4190.963863529884,-0.0,0.0,0.0,-0.0,0.0,0.0,-783872.5911314404,-0.0,24308.93515087363,2627.922853213575,21176.82642363882,0.0,Pipeline,1000.0,0.0,0.0,1576800.0000000144,0.0,0,0,1,8760
36,VIC1,2021,2.936199346920069,19095421.30622725,60,0.0,6695.142857142858,37.56614760000001,31.40190593506791,43.46578576201426,45.12141428571429,0.0,-90060058.2857143,0.0,73128.76732800002,0.0,0.0,13256.074766355141,2158.317757009345,Pipeline,597.0094386694182,13452.0,3726733.989054877,1576800.0,0.0,0,0,1,1
37,VIC1,2021,2.9165988250103596,19365824.339734413,60,0.0,6569.999999999999,37.56614760000001,31.596040583286776,43.434353647349674,45.12141428571429,0.0,-90060058.28571428,0.0,73128.76732800002,0.0,0.0,13508.57142857143,2040.8163265305338,Pipeline,597.6825664698875,13708.0,3638873.67474143,1576800.0,0.0,0,0,1,24
38,VIC1,2021,2.762954113566396,19291203.96116478,60,2.0804374064290137e-16,6180.000000000015,37.56614760000001,32.206956785610835,43.40499955210474,45.12141428571429,-1.8736431408277505e-08,-90060058.28571323,0.0,73128.76732799916,0.0,0.0,14361.054091539329,0.0,Pipeline,1000.0,14573.0,3255570.0672088554,1576799.9999999816,0.0,0,0,1,720
39,VIC1,2021,2.62132694226844,19537797.52212189,60,0.0,6102.0,37.5661476,33.39893724000694,43.7732689771956,45.12141428571428,0.0,-90060058.28570506,0.0,73128.76732799251,0.0,0.0,14544.627054360079,0.0,Pipeline,1000.0,14760.0,2899179.2707547485,1576799.9999998386,0.0,0,0,1,8760
