,Location,Year,LCOH,Capex,Step,RE_supply_proportion,FLH,EI_GCO,EI_MEF,EI_MeanEI,EI_L,Sell_amount,Purchase_amount,Curtailment,LGCs,wind_capacity,pv_capacity,electrolyser_capacity,hydrogen_storage_capacity,hydrogen_storage_type,hydrogen_storage_cost,Grid_max_power_export,grid_cost,production_amount,H2_initial_storage_level,Simultaneity_obligation_interval,ratio,Simultaneity_obligation,Batch_interval,wind_capex+wind_OM,pv_capex+pv_OM,hydrogen_storage_capex,electrolyser_capex+electrolyser_OM,wind_OM,pv_OM,electrolyser_OM,grid_electricity_cost,LCOH_sum
29,NSW1,2021,3.637865794,17514001.34,60,0,7026.25,37.57657728,35.92574381,40.09874528,38.84946869,0,-90085062.11,0,73149.07043,0,0,12631.39147,1065.974026,Pipeline,516,12910,5393499.85,1576800,0,0,0,1,24,0,0,0.027288196,1.216202981,0,0,0.374603019,2.394374616,3.637865794
30,NSW1,2021,4.588653831,103389093.8,60,0.791448155,7384.462622,-21.56013474,-13.92141423,-15.67314241,-16.57652207,57227211.45,-18789182.04,-2219902.013,-41970.39563,27584.19033,25579.96077,12018.65577,2447.646902,Pipeline,516,42747,-3153261.046,1576800,0,720,0,1,24,3.216352612,1.548648273,0.062658063,1.160844408,0.306141128,0.193050186,0.360069588,-1.399849526,4.588653831
31,NSW1,2021,3.866050925,75258840.03,60,0.610862214,7089.201212,-3.385528466,1.378592627,0.189117657,-6.77E-13,35055826.67,-35055826.67,0,-6590.495415,27204.86777,0,12519.2263,1146.603303,Pipeline,516,24050,-1219753.175,1576800,0,8760,0,1,24,3.172123105,0,0.029352249,1.206069243,0.301931244,0,0.371942582,-0.541493672,3.866050925
32,VIC1,2021,3.395963742,31168827.85,60,0,6368.17714,37.59688911,32.15462503,43.53592438,45.1583385,0,-90133757.15,0,73188.6108,0,0,13936.69057,34857.14286,Lined Rock,357.2252743,14244,3252897.553,1576800,215.5598456,0,0,1,24,0,0,0.617749588,1.334132287,0,0,0.40556331,1.444081867,3.395963742
33,VIC1,2021,5.227802516,99520157.83,60,0.784633415,4900.787293,-5.819039238,-0.254157151,-2.930279524,-3.845233291,27104884.37,-19429993.42,-3042863.148,-11327.72972,25113.56804,7713.546118,18109.60341,61224.4898,Lined Rock,221.3629993,26204,-1241105.917,1576800,48027.32687,24,0,1,24,2.928274826,0.466989374,0.672370584,1.711140678,0.278721106,0.058213596,0.504540314,-0.550972947,5.227802516
34,VIC1,2021,4.788830236,92793040.63,60,0.688162692,6097.40649,-7.257969924,-0.210813823,-2.077226154,-4.430443068,36959472.39,-28116532.35,-3053127.616,-14128.84812,28477.95973,0,14555.58432,41061.40995,Lined Rock,308.8949392,25175,-1241243.819,1576800,28774.27667,720,0,1,24,3.32056729,0,0.629249893,1.390047219,0.316060563,0,0.420242804,-0.551034166,4.788830236
35,VIC1,2021,4.556997037,84636562.36,60,0.653473459,6356.628602,-3.016519867,2.669873435,2.336752037,-5.68E-14,31234886.56,-31234886.56,0,-5872.158674,25151.04271,0,13962.01034,33306.12003,Lined Rock,372.2851847,22234,-737071.458,1576800,569.7868232,8760,0,1,24,2.932644422,0,0.61514613,1.336419842,0.279137016,0,0.406163868,-0.327213357,4.556997037
36,VIC1,2021,2.961484928,18885051.43,60,0,6570,37.57997974,31.57470336,43.46083346,45.13802833,0,-90093219.09,0,73155.6939,0,0,13508.57143,1440,Pipeline,516,13807,3669818.953,1576800,0,0,0,1,24,0,0,0.036863001,1.295453188,0,0,0.395408785,1.629168739,2.961484928
37,VIC1,2021,4.604864104,92193597.96,60,0.709030599,6436.960605,-12.9284841,-5.117852678,-7.425226222,-10.13892165,46463767.86,-26226993.6,-9867230.747,-25167.44905,33550.86576,0,13787.7672,4510.378874,Pipeline,516,29659,-1674450.762,1576800,0,720,0,1,24,3.912074757,0,0.115462572,1.32067757,0.372361841,0,0.402031008,-0.743350795,4.604864104
38,VIC1,2021,4.127247466,72344465.24,60,0.639452188,6609.554754,-3.137165213,2.06211132,2.348714903,-8.60E-13,32484122.06,-32484122.06,0,-6107.014947,25139.74302,0,13427.72964,1645.051982,Pipeline,516,22224,-302612.6914,1576800,0,8760,0,1,24,2.931326863,0,0.04211219,1.288149409,0.279011608,0,0.393491304,-0.134340997,4.127247466
