,Location,Year,LCOH,Capex,Step,RE_supply_proportion,FLH,EI_market,EI_MEF,EI_AEF,EI_L,Sell_amount,Purchase_amount,Curtailment,LGCs,wind_capacity,pv_capacity,electrolyser_capacity,hydrogen_storage_capacity,hydrogen_storage_type,hydrogen_storage_cost,Grid_max_power_export,grid_cost,production_amount,H2_initial_storage_level,Simultaneity_obligation_interval,ratio,Simultaneity_obligation,Batch_interval
10,SA1,2021,2.5223889780788875,85604140.24994309,60,0.6661584683761521,5975.236690690551,-18.62898416564986,-10.437342474722175,-9.964242886076338,-4.853509386643744,60677842.1996758,-30065787.796236046,-6042572.25302244,-36264.422509132135,30871.744909465273,8.49366307540261e-07,14853.188062656855,0.0,Pipeline,1000.0,27291.0,-5495041.122537,1576800.0000000175,0.0,0,1,0,720
11,SA1,2021,2.4121740393062523,85604140.24997024,60,0.6472166969246765,5899.318097397824,-18.615007920181142,-9.443069103005767,-9.746302532703178,-4.798347708739383,62035823.50575081,-31771684.83718966,-5894902.028180214,-36237.21541795281,30751.004339293657,5.031051686991965e-07,15044.334416355945,0.0,Pipeline,1000.0,27184.0,-5750502.306972803,1576800.0000000081,0.0,0,1,0,8760
12,NSW1,2021,3.8056688690164004,71279861.43836455,60,0.5905162194862137,7152.917329261306,-2.6791471324554864e-13,4.027158014998125,3.280423811559268,2.9899166290161654,29945044.109779682,-36878133.140122116,0.0,-5.21540641784668e-10,25103.354366260166,0.0,12407.708659323842,2054.525978529482,Pipeline,597.6040282950084,22192.0,-728719.9534142758,1576800.0,0.0,0,1,0,1
13,NSW1,2021,3.7944001770022875,71459223.17479376,60,0.5914012559647238,7077.430352533411,-4.949532959559194e-11,4.111524235241369,3.251899395400911,2.983454382092053,29880322.483165044,-36798426.703286566,-0.00014405413609880216,-9.635090827941895e-08,25107.879600420318,9.802669309357618e-08,12540.047710104915,2040.8162636576299,Pipeline,597.6825788643844,22196.0,-781331.4186704792,1576799.9999999995,4.003241546838554e-10,0,1,0,24
14,NSW1,2021,3.663565749542868,70653216.63477038,60,0.5885251684985476,6895.26540502618,-2.8316671513531373e-11,4.364398147277287,3.2234447355263818,3.0044546320606345,30090647.214252803,-37057447.30812522,-0.00014122495843660297,-5.5123120546340945e-08,25093.174026696743,9.274127226010347e-08,12871.341286010593,0.0,Pipeline,1000.0,22183.0,-1003305.0057202545,1576799.9999999965,0.0,0,1,0,720
15,NSW1,2021,3.531266603792269,70651219.06648996,60,0.5766118768668156,6844.7748499252575,-9.013875706555143e-10,5.000230825957799,3.2931123838627965,3.091441590155124,30961851.547799096,-38130359.0468527,-0.16592452504784103,-1.7547011375427246e-06,25032.26084312625,8.436277453715053e-07,12966.286873071182,0.0,Pipeline,1000.0,22129.0,-1304645.0258075453,1576799.9999999912,0.0,0,1,0,8760
16,VIC1,2021,4.004494268984396,68353568.74013573,60,0.6014671807546885,6745.010453164051,-1.1922204739426915e-12,4.12160581305519,5.53022684926483,3.380684515400419,29144213.81116786,-35891888.93000682,0.0,-2.3208558559417725e-09,23246.74345289048,0.0,13158.069198260137,2078.4577266205088,Pipeline,597.4669310282926,20551.0,52493.434873742575,1576800.0,0.0,0,1,0,1
17,VIC1,2021,3.98485958724979,68818531.90437476,60,0.6030836391842025,6570.000000000017,-6.200311935111266e-13,4.332503573520963,5.473796551602386,3.3669723799916857,29026004.198779155,-35746310.58962801,0.0,-1.2069940567016602e-09,23254.38017835738,0.0,13508.57142857143,2040.523000428611,Pipeline,597.7403914701116,20557.0,-62613.61469110615,1576800.0000000005,0.0,0,1,0,24
18,VIC1,2021,3.829824147701544,68891962.57067895,60,0.6154530362512138,6172.410339754684,-4.9219760176253005e-12,4.884093252708516,5.313694779316643,3.2620449383562504,28121445.438683238,-34632321.96880992,-0.00021745753135394332,-9.581446647644043e-09,23312.817616564647,1.6456930421037642e-07,14378.712593699676,0.0,Pipeline,1000.0,20609.0,-467999.40878672095,1576800.0000000207,0.0,0,1,0,720
19,VIC1,2021,3.6919243750682456,68661087.10489073,60,0.584473852680656,6146.834225349729,-1.086968265167647e-12,6.157732266848106,5.959256113052371,3.5248359586705593,30386914.94601869,-37422309.046818435,-0.0008646726595023988,-2.115964889526367e-09,23166.460917362452,6.518604588199736e-07,14438.540398519632,0.0,Pipeline,1000.0,20480.0,-752365.1932930528,1576800.000000011,0.0,0,1,0,8760
