,Location,Location_code,Year,LCOH,Capex,Step,RE_supply_proportion,FLH,EI_market,EI_MEF,EI_AEF,EI_L,Sell_amount,Purchase_amount,Curtailment,LGCs,battery class,battery_energy_capacity,battery_power_capacity,wind_capacity,pv_capacity,electrolyser_capacity,hydrogen_storage_capacity,hydrogen_storage_type,hydrogen_storage_cost,Grid_max_power_export,grid_cost,production_amount,H2_initial_storage_level,Simultaneity_obligation_interval,ratio,Simultaneity_obligation,Batch_interval,wind_capex+wind_OM,pv_capex+pv_OM,hydrogen_storage_capex,electrolyser_capex+electrolyser_OM,wind_OM,pv_OM,electrolyser_OM,grid_electricity_cost,LCOH_sum,RE factor,EI_market,EI_MEF,EI_AEF,EI_L,EI_MEF-EI_market,EI_AEF-EI_L
35,TAS1,Cell 20,2023,3.574663258,36649086.99,60,0.941784549,5351.379652,25.79506367,6.710662693,6.818514693,5.991916981,5242886.873,-68229918.17,3.22E-06,50214.39062,AA,0,0,5727.257707,0,16584.75385,2195.281979,Pipeline,998.1409769,16830,2882226.315,1576800,1873.31396,0,0.3,0,1,0.667805727,0,0.108707798,1.518622576,0.063563553,0,0.413372523,1.279527157,3.574663258,0.345332693,0.654697048,0.170321388,0.173058749,0.152079111,-0.484375659,0.020979637
36,TAS1,Cell 20,2023,3.571964517,40698107.31,60,0.9181716,5351.379652,21.8225901,5.611584997,6.104208118,5.133436926,7369470.454,-61332159.42,0,42481.30873,AA,0,0,7636.34361,0,16584.75385,2184.399865,Pipeline,998.1501922,16830,2375932.102,1576800,1875.109172,0,0.4,0,1,0.890407636,0,0.108169927,1.518622576,0.084751404,0,0.413372523,1.054764378,3.571964517,0.46044359,0.553872845,0.142426015,0.15492914,0.130290277,-0.41144683,0.024638863
37,TAS1,Cell 20,2023,3.569896674,44751998.42,60,0.892010138,5351.379652,17.82804495,4.483126095,5.401089875,4.274956872,9725573.273,-54663919.92,0,34705.26083,AA,0,0,9545.429512,0,16584.75385,2178.406756,Pipeline,998.1552673,16830,1870514.706,1576800,1881.793391,0,0.5,0,1,1.113009545,0,0.107873701,1.518622576,0.105939254,0,0.413372523,0.830390851,3.569896674,0.575554488,0.45248845,0.113784926,0.137083499,0.108501443,-0.338703524,0.028582056
38,TAS1,Cell 20,2023,3.568571924,48828381.08,60,0.863279191,5351.379652,13.8112466,3.342102669,4.697369551,3.416476818,12313083.99,-48227088.31,0,26885.89338,AA,0,0,11454.51541,0,16584.75385,2194.988741,Pipeline,998.1412252,16830,1364257.699,1576800,1911.052703,0,0.6,0,1,1.335611454,0,0.108693304,1.518622576,0.127127105,0,0.413372523,0.60564459,3.568571924,0.690665386,0.350539254,0.084824941,0.119222577,0.08671261,-0.265714313,0.032509968
39,TAS1,Cell 20,2023,3.568408298,52903912.27,60,0.830842806,5351.379652,9.762357036,2.215534438,3.984239199,2.557996764,15234306.79,-42123968.77,4.03E-06,19004.05503,AA,0,0,13363.60132,0,16584.75385,2210.716532,Pipeline,998.1279065,16830,860711.3578,1576800,1939.45782,0,0.7,0,1,1.558213363,0,0.109470665,1.518622576,0.148314956,0,0.413372523,0.382101694,3.568408298,0.805776283,0.247775559,0.056231839,0.101122822,0.064923776,-0.191543721,0.036199047
40,TAS1,Cell 20,2023,3.569113586,57002117.51,60,0.794052827,5351.379652,5.675762879,1.077778769,3.282640774,1.69951671,18547614.38,-36412934.03,0,11048.8184,AA,0,0,15272.68722,0,16584.75385,2249.205057,Pipeline,998.0953134,16830,356588.4269,1576800,1990.623672,0,0.8,0,1,1.780815272,0,0.11137291,1.518622576,0.169502807,0,0.413372523,0.158302828,3.569113586,0.920887181,0.144054895,0.027354791,0.083315756,0.043134942,-0.116700104,0.040180814
41,TAS1,Cell 20,2023,3.571444033,61129707.79,60,0.749821245,5351.379652,1.524720193,-0.092672983,2.605704982,0.841036656,22531113.22,-31372090.55,2.41E-06,2968.121976,AA,0,0,17181.77312,0,16584.75385,2317.196172,Pipeline,998.0377367,16830,-147157.5692,1576800,2027.566409,0,0.9,0,1,2.003417181,0,0.114732978,1.518622576,0.190690658,0,0.413372523,-0.065328703,3.571444033,1.035998079,0.038698482,-0.002352106,0.066134644,0.021346108,-0.041050588,0.044788536
42,TAS1,Cell 20,2023,3.575602658,65227695.41,60,0.701671416,5351.379652,-2.612304456,-1.238145098,1.94682928,-0.006518135,26867489.66,-26798971.03,-114846.3704,-5085.286008,AA,0,0,19090.85902,0,16584.75385,2355.473177,Pipeline,998.0053228,16877,-643477.293,1576800,1995.473177,0,1,0,1,2.226019091,0,0.116624426,1.518622576,0.211878509,0,0.413372523,-0.285663436,3.575602658,1.151108976,-0.066302144,-0.031425002,0.049411911,-0.000165435,0.034877141,0.049577346
43,TAS1,Cell 20,2023,3.593889799,69272145.84,60,0.631153277,5351.379652,-6.578000363,-2.307558571,1.346327863,-0.770901115,33218357.37,-25114644.84,-1103994.805,-12805.17404,AA,0,0,20999.94493,0,16584.75385,2340,Pipeline,998.0184258,18564,-1101988.611,1576800,1980,0,1.1,0,1,2.448621,0,0.115859838,1.518622576,0.23306636,0,0.413372523,-0.489213615,3.593889799,1.266219874,-0.166954324,-0.058567476,0.034170758,-0.019566018,0.108386848,0.053736776
44,TAS1,Cell 20,2023,3.613314286,73332007.92,60,0.558423834,5351.379652,-10.55812172,-3.374163105,0.745470296,-1.534207409,39768375.28,-23640787,-2104461.375,-20553.14361,AA,0,0,22909.03083,0,16584.75385,2340,Pipeline,998.0184258,20252,-1559660.266,1576800,1980,0,1.2,0,1,2.671222909,0,0.115859838,1.518622576,0.254254211,0,0.413372523,-0.692391036,3.613314286,1.381330771,-0.267972632,-0.085638657,0.018920566,-0.038939274,0.182333975,0.05785984
