,Location,Location_code,Year,LCOH,Capex,Step,RE_supply_proportion,FLH,EI_market,EI_MEF,EI_AEF,EI_L,Sell_amount,Purchase_amount,Curtailment,LGCs,battery class,battery_energy_capacity,battery_power_capacity,wind_capacity,pv_capacity,electrolyser_capacity,hydrogen_storage_capacity,hydrogen_storage_type,hydrogen_storage_cost,Grid_max_power_export,grid_cost,production_amount,H2_initial_storage_level,Simultaneity_obligation_interval,ratio,Simultaneity_obligation,Batch_interval,wind_capex+wind_OM,pv_capex+pv_OM,hydrogen_storage_capex,electrolyser_capex+electrolyser_OM,wind_OM,pv_OM,electrolyser_OM,grid_electricity_cost,LCOH_sum
10,TAS1,Cell 20,2023,4.515143909605351,78407777.16536924,60,0.9999999999999813,5351.379652219044,-8.65E-13,-2.20E-13,-8.69E-16,-1.60E-13,1.683777760774774e-06,0,5.197630770226169e-09,-1.68E-09,AA,0,0,19090.859023950128,0,16584.753849208217,104568.36830997455,Lined Rock,148.52346622983652,1,-2.30E-06,1576800,35410.00265441773,1,1,1,1,2.2260190905513504,0,0.7705022428353007,1.5186225762197259,0.21187850895429178,0,0.413372522805928,-1.02E-12,4.5151439096053565
11,TAS1,Cell 20,2023,4.168155332671814,78407777.16536924,60,0.774013578610712,5774.558308298508,-4.363826494,-1.04944361,0.21558560663693346,-0.547231771,20402154.19493084,-14649653.81,-689829.2158,-8494.915576,AA,0,0,20461.55548411157,0,15369.368451639632,76462.02609309656,Lined Rock,186.3481960891501,18089,-750947.6604,1576800,15326.479319928636,24,1,1,1,2.3858440876267943,0,0.7068861855908022,1.408798576890907,0.22709108382290238,0,0.3845448884394484,-0.333373517,4.168155332671815
12,TAS1,Cell 20,2023,3.564979197275125,74723330.95693263,60,0.44980085868836966,7068.418724638705,-17.18943868,-4.738509638,-1.042703089,-2.830727004,49550966.735269226,-19794364.46,-6120973.665,-33462.1073,AA,0,0,26641.915090703482,0,12556.03519587131,1201.3343901768305,Pipeline,998.9826781301301,23552,-1702095.695,1576800,0,720,1,1,1,3.1064820879119917,0,0.05953883975250266,1.1545816756418459,0.2956833549513641,0,0.3178156496230258,-0.755623406,3.564979197275125
13,TAS1,Cell 20,2023,3.4840056671053103,58439980.15482428,60,0.7205920250144346,7102.746249293377,-2.419832323,-0.625060615,1.1358045110483592,4.6152616651468984e-14,25163498.51269079,-25163498.51,2.7949340619670693e-09,-4710.606922,AA,0,0,19052.06843649069,0,12495.351962566023,1139.9455571527126,Pipeline,999.0346638244642,16843,128198.45011952336,1576800,906.4612364146515,8760,1,1,1,2.2214960574018163,0,0.05649931303466752,1.1490982500657916,0.21144799444354834,0,0.3163763085996761,0.056912046603035484,3.484005667105311
14,TAS1,Cell 20,2023,3.441343582516584,46433549.56444285,60,0.928045925931012,7385.783261139746,9.75514591323261,2.475857223930556,2.9540345296842436,2.3645535341184507,6480188.10454749,-31336374.86,3.911594603778212e-09,18990.01737775948,AA,0,0,13793.77991150153,0,12016.506732967568,958.7020366656882,Pipeline,999.1881456515656,12194,1530888.3762573525,1576800,690.2999353872513,0,1,1,1,1.6083727492484958,0,0.04752360993675595,1.105829095870559,0.15308926208224047,0,0.30501861479768333,0.6796181274607729,3.441343582516584
15,NSW1,Cell 2127,2023,6.366080829154002,115143348.51818824,60,0.9355466179388026,4212.674462206796,-2.989470072,-2.095524862,-1.752883364,-2.435864503,5819501.7393420115,0,-1823239.72,-5819.501739,AA,0,0,18356.38698358109,29564.945304104232,21067.68872884157,119999.99999999983,Lined Rock,135.20962596339774,29941,-659681.7238,1576800,75768.76217162244,1,1,1,1,2.140378691589388,1.7899050709789346,0.8049471316223896,1.9237071182891963,0.2037270244879941,0.22312458721387643,0.5197029163233604,-0.292857183,6.366080829154004
16,NSW1,Cell 2127,2023,5.216999111744572,115143348.51818824,60,0.12658177701914064,5403.054071110583,-23.6415644,-10.73491638,-6.556438001,-16.0959073,78880117.62509264,-40425531.81,-11746985.62,-46022.24537,AA,0,0,0,74590.36770238345,16426.138461256225,57836.86604704983,Lined Rock,231.69799574886045,57378,-3306601.476,1576800,56408.32958192015,24,1,1,1,0,4.515810058953349,0.6648222242025806,1.504289858141305,0,0.5629283204327518,0.4096103364098065,-1.46792303,5.216999111744572
17,NSW1,Cell 2127,2023,4.807968314260461,111256006.32283747,60,-0.015866115,5668.235294117228,-29.9280127,-16.23988643,-10.2942851,-21.18241144,91488961.49631913,-40882254.88,-15504990.3,-58259.86473,AA,0,0,0,82902.39350270206,15657.662337662336,1669.0909090909092,Pipeline,998.5865694859787,63772,-3893798.389,1576800,1669.0909090909092,720,1,1,1,0,5.019032269482272,0.08268832833443301,1.4348492334220782,0,0.6256586013965973,0.39138290932811476,-1.728601517,4.807968314260462
18,NSW1,Cell 2127,2023,4.602919573305493,73531069.31704883,60,0.5136721533514582,5720.81632653061,-4.211876353,3.6093477641540583,6.544579870862786,-4.68E-13,43798714.215129144,-43798714.22,4.766320671478752e-11,-8199.119301,AA,0,0,0,47807.584547727856,15513.749999999998,1625.625,Pipeline,998.6233775722814,36776,464469.7684648342,1576800,1625.625,8760,1,1,1,0,2.894341157511061,0.08053795498527279,1.421845104438419,0,0.36080051757861586,0.3879694634703196,0.2061953563707407,4.602919573305494
19,NSW1,Cell 2127,2023,4.485136603307805,41927124.34278017,60,0.9556723692097873,6052.386412386349,22.004083299269254,20.719277943650738,23.404728925835094,22.443482459329488,3992149.0126339747,-57611668.92,1.0652954074430454e-08,42834.61548924415,AA,0,0,0,19344.137150598497,14663.854591980735,1567.8427756975939,Pipeline,998.6723090945562,14881,4260260.9442075,1576800,1567.8427756975939,0,1,1,1,0,1.1711223823830883,0.07767906991798845,1.3450473142834598,0,0.14598885850591203,0.3678108585363264,1.8912878367232684,4.485136603307805
20,VIC1,Cell 36,2023,4.967156230441741,86865524.69858085,60,0.9853879185892367,5400.64164677348,-0.677506772,-0.44936325,-0.551767233,-0.644049648,1318879.8501807014,0,-3044017.053,-1318.87985,AA,0,0,18915.96010444776,8748.414374400538,16433.475888690948,97702.3324108428,Lined Rock,155.76597987910577,6730,-63252.01388,1576800,79143.80509258101,1,1,1,1,2.2056256481588083,0.5296418136647373,0.7550158046589744,1.5049528787990143,0.2099374060298299,0.06602367520000406,0.40978437229644943,-0.028079915,4.967156230441742
21,VIC1,Cell 36,2023,4.297586813456335,86865524.69858085,60,0.7600229985186776,5166.395260537514,-3.931499152,0.7387561739865394,-2.196837141,-2.160183728,21676336.8027731,-17252729.4,-1286058.374,-7653.31835,AA,0,0,19678.17568115487,7673.987405829713,17178.576127078868,65419.930875778744,Lined Rock,210.09777070420878,23299,-1612104.724,1576800,57200.72054137042,24,1,1,1,2.294500979684596,0.46459443205586715,0.6818832538068046,1.5722812243956628,0.21839680011428855,0.05791504954932368,0.4274573485240675,-0.715673076,4.297586813456335
22,VIC1,Cell 36,2023,3.801473974267697,86865524.69858085,60,0.45357146481881383,5625.16213681782,-14.66677466,-6.267284719,-9.445734959,-11.61885435,49211385.727396056,-25418386.32,-9605778.8,-28551.32133,AA,0,0,29222.68577524731,0,15777.556651178105,3537.1643768801296,Pipeline,997.0046352561379,25833,-2762934.829,1576800,3537.1643768801296,720,1,1,1,3.407403319634605,0,0.17495683743571466,1.4456830586707823,0.32432585049900303,0,0.39422667348684753,-1.226569241,3.8014739742676973
23,VIC1,Cell 36,2023,3.6162903893930736,70404432.04896553,60,0.6589495003572389,5529.141958832514,-2.953691722,1.869660331209479,1.6132063944645496,-3.22E-12,30715027.876200635,-30715027.88,-9.19E-09,-5749.853218,AA,0,0,21317.200606059654,0,16051.552835235601,3519.7131261905015,Pipeline,997.0194134387391,18845,-1157508.668,1576800,3390.1769090832872,8760,1,1,1,2.4856134261256058,0,0.17409623623336645,1.4704417539737107,0.23658739891301622,0,0.40072556826345224,-0.513861027,3.6162903893930745
24,VIC1,Cell 36,2023,3.3177175923557662,25128289.925683632,60,1,5474.999999999656,37.603158582857525,26.897736204494876,40.959406026439936,43.97910000000368,0,-90060058.29,1.842826996588189e-08,73200.81537462931,AA,0,0,0,0,16210.285714285665,3362.5881930601568,Pipeline,997.1524710054604,16450,3754103.9411380747,1576800,3276.0000000000205,0,1,1,1,0,0,0.1663465328115752,1.4847850887193235,0,0,0.4044905414220471,1.6665859708248683,3.317717592355767
