,Wind
664,181670.5
665,202343.19
666,194570.15
667,155502.46
668,157835.71
669,157184.69
670,142822.28
671,121616.05
672,107435.99
673,101194.23
674,103183.96
675,115786.97
676,144661.1
677,171430.53
678,218527.98
679,282880.07
680,282880.07
681,282880.07
682,282880.07
683,282880.07
684,282880.07
685,282880.07
686,282880.07
687,239127.21
688,140384.68
689,79815.99
690,61054.52
691,35031.44
692,30748.81
693,69812.36
694,137293.59
695,157892.81
696,163573.93
697,169870.45
698,158873.76
699,183505.9
700,196336.68
701,183274.57
702,193466.05
703,190143.89
704,185761.81
705,133869.53
706,90579.41
707,68081.82
708,72406.8
709,74208.96
710,82276.93
711,106175.03
712,119323.32
713,167130.17
714,174516.1
715,183521.06
716,178149.89
717,155598.68
718,122473.81
719,99572.2
720,92396.12
721,94695.64
722,92259.21
723,88137.06
724,88561.16
725,92090.38
726,83674.73
727,68600.23
728,53448.89
729,50478.21
730,51013.55
731,53631.51
732,55756.67
733,54363.73
734,54104.09
735,60504.54
736,63169.36
737,62805.95
738,64456.71
739,72504.68
740,77502.88
741,70115.12
742,55605.86
743,33355.83
744,19972.6
745,11043.25
746,0.0
747,0.0
748,0.0
749,0.0
750,0.0
751,0.0
752,0.0
753,0.0
754,0.0
755,2254.99
756,0.0
757,0.0
758,12647.47
759,108332.36
760,282880.07
761,282880.07
762,278832.99
763,253864.68
764,251961.93
765,222300.33
766,217541.1
767,208713.3
768,170292.99
769,130481.61
770,117884.62
771,155015.22
772,199914.69
773,233402.27
774,263705.57
775,282880.07
776,282880.07
777,260413.4
778,217704.52
779,197688.25
780,218813.74
781,255253.16
782,266664.63
783,244431.86
784,193965.74
785,185268.66
786,206992.2
787,230614.18
788,248820.91
789,216140.15
790,188402.62
791,166349.72
792,138294.42
793,121018.54
794,114512.39
795,104814.86
796,83385.24
797,81622.68
798,78133.84
799,55988.98
800,69284.52
801,60927.73
802,44148.64
803,33079.98
804,29923.22
805,34909.08
806,43179.17
807,48028.15
808,53131.13
809,57238.63
810,57191.53
811,70979.86
812,119786.42
813,133166.54
814,107379.57
815,86853.99
816,70228.77
817,52698.77
818,32796.68
819,18337.57
820,13582.05
821,21294.82
822,46389.38
823,62831.4
824,27656.89
825,22264.95
826,124536.8
827,248843.6
828,282880.07
829,282880.07
830,282880.07
831,282880.07
832,282880.07
833,213668.21
834,128613.84
835,75308.34
836,53090.25
837,79937.13
838,104758.17
839,251561.64
840,282880.07
841,282880.07
842,282880.07
843,282880.07
844,282880.07
845,282880.07
846,282880.07
847,282880.07
848,282880.07
849,282880.07
850,282880.07
851,282880.07
852,282880.07
853,282880.07
854,282880.07
855,282880.07
856,282880.07
857,282880.07
858,282880.07
859,282880.07
860,282880.07
861,168348.72
862,94820.17
863,65785.84
864,97430.5
865,170236.04
866,210927.38
867,263284.27
868,279613.31
869,250874.26
870,203102.42
871,250859.57
872,282880.07
873,282880.07
874,282880.07
875,282880.07
876,282880.07
877,277380.96
878,282539.22
879,282880.07
880,282880.07
881,281179.77
882,256999.16
883,253800.07
884,282880.07
885,282880.07
886,282880.07
887,282880.07
888,282880.07
889,282880.07
890,282880.07
891,281584.54
892,247136.24
893,229552.0
894,215446.54
895,247955.89
896,282880.07
897,249699.75
898,196425.13
899,173239.77
900,169105.93
901,200236.61
902,215727.84
903,222931.43
904,238087.42
905,232180.4
906,212238.11
907,201567.29
908,193342.49
909,200023.29
910,193102.77
911,192477.54
912,181912.03
913,163313.84
914,158502.19
915,159752.5
916,162136.56
917,156051.37
918,152573.35
919,134272.82
920,129383.34
921,148724.04
922,183489.46
923,194693.35
924,206280.35
925,219866.88
926,213638.79
927,209933.51
928,200007.31
929,194090.72
930,205201.57
931,214231.12
932,219445.58
933,237179.81
934,210839.33
935,208311.96
936,193889.29
937,179626.73
938,176257.3
939,182969.98
940,183885.21
941,159584.09
942,162624.77
943,124138.98
944,79375.02
945,50108.18
946,42008.85
947,45207.4
948,39951.03
949,28012.39
950,17453.04
951,12925.57
952,14272.47
953,19963.17
954,31365.3
955,70646.32
956,117388.91
957,120405.54
958,115283.3
959,126482.98
960,141257.28
961,114757.57
962,103640.07
963,87159.2
964,65979.69
965,51334.49
966,36960.3
967,14905.75
968,3506.9
969,0.0
970,0.0
971,0.0
972,0.0
973,0.0
974,0.0
975,0.0
976,7062.85
977,58717.76
978,168786.71
979,231001.25
980,151081.81
981,68382.72
982,31508.27
983,14543.07
984,491.93
985,0.0
986,0.0
987,0.0
988,30230.69
989,96571.3
990,180556.19
991,243517.31
992,177775.85
993,282880.07
994,282880.07
995,282880.07
996,282880.07
997,282880.07
998,282880.07
999,282880.07
1000,282880.07
1001,282880.07
1002,282880.07
1003,282880.07
1004,282880.07
1005,282880.07
1006,281913.71
1007,177913.78
1008,180818.3
1009,264475.49
1010,282880.07
1011,281095.32
1012,252336.97
1013,151854.83
1014,150898.8
1015,122161.41
1016,97149.63
1017,58892.4
1018,44533.95
1019,33137.08
1020,31232.29
1021,29234.23
1022,26904.5
1023,26696.06
1024,30868.19
1025,44235.53
1026,80238.35
1027,145604.1
1028,202510.24
1029,190206.27
1030,150222.53
1031,122480.54
1032,103923.93
1033,70540.09
1034,77723.22
1035,84380.44
1036,94308.61
1037,94341.76
1038,85314.0
1039,55804.64
1040,64153.03
1041,92710.14
1042,103805.92
1043,96866.94
1044,91711.48
1045,74564.49
1046,86166.25
1047,123946.65
1048,164125.06
1049,194501.34
1050,207081.57
1051,176841.5
1052,120496.59
1053,98999.22
1054,87966.61
1055,70543.07
1056,69608.33
1057,64657.89
1058,62011.55
1059,57969.84
1060,63247.25
1061,70980.12
1062,79881.6
1063,75005.82
1064,71104.53
1065,63846.03
1066,58998.08
1067,61562.05
1068,54666.61
1069,68597.29
1070,69484.19
1071,87226.56
1072,103891.18
1073,98591.79
1074,112125.3
1075,144658.46
1076,169946.35
1077,169277.82
1078,153076.07
1079,152513.87
1080,136460.52
1081,106489.41
1082,100090.87
1083,79613.96
1084,82356.19
1085,86706.66
1086,99179.88
1087,102946.48
1088,91355.26
1089,75981.36
1090,52159.5
1091,41311.56
1092,30456.5
1093,19392.01
1094,11536.09
1095,7527.41
1096,9464.5
1097,18126.12
1098,34254.66
1099,67686.66
1100,90339.37
1101,69540.57
1102,52166.77
1103,59073.59
1104,73735.18
1105,61157.72
1106,43445.5
1107,35877.1
1108,33783.62
1109,65786.14
1110,80381.68
1111,83611.84
1112,117109.36
1113,213037.94
1114,133127.24
1115,54371.92
1116,20400.33
