,Solar
738,44.37
739,-0.0
740,0.0
741,0.0
742,0.0
743,0.0
744,0.0
745,0.0
746,0.0
747,0.0
748,0.0
749,0.0
750,0.0
751,200.21
752,708.73
753,769.23
754,769.23
755,769.23
756,768.56
757,745.36
758,706.84
759,649.31
760,540.98
761,316.93
762,30.97
763,-0.0
764,0.0
765,0.0
766,0.0
767,0.0
768,0.0
769,0.0
770,0.0
771,0.0
772,0.0
773,0.0
774,0.0
775,767.76
776,769.23
777,769.23
778,769.23
779,633.64
780,399.27
781,247.36
782,430.72
783,552.76
784,428.09
785,232.61
786,18.46
787,-0.0
788,0.0
789,0.0
790,0.0
791,0.0
792,0.0
793,0.0
794,0.0
795,0.0
796,0.0
797,0.0
798,0.0
799,179.03
800,614.95
801,677.73
802,482.21
803,570.31
804,459.3
805,311.23
806,187.86
807,136.74
808,72.82
809,37.67
810,7.15
811,-0.0
812,0.0
813,0.0
814,0.0
815,0.0
816,0.0
817,0.0
818,0.0
819,0.0
820,0.0
821,0.0
822,0.0
823,140.21
824,615.57
825,676.32
826,746.75
827,769.23
828,744.93
829,660.47
830,624.01
831,582.82
832,573.62
833,338.24
834,28.69
835,-0.0
836,0.0
837,0.0
838,0.0
839,0.0
840,0.0
841,0.0
842,0.0
843,0.0
844,0.0
845,0.0
846,0.0
847,183.6
848,760.06
849,769.23
850,769.23
851,769.23
852,769.23
853,738.31
854,699.93
855,644.13
856,485.04
857,128.63
858,8.44
859,-0.0
860,0.0
861,0.0
862,0.0
863,0.0
864,0.0
865,0.0
866,0.0
867,0.0
868,0.0
869,0.0
870,0.0
871,143.98
872,577.89
873,665.91
874,682.65
875,574.82
876,381.58
877,264.6
878,537.54
879,535.74
880,443.39
881,238.61
882,16.66
883,-0.0
884,0.0
885,0.0
886,0.0
887,0.0
888,0.0
889,0.0
890,0.0
891,0.0
892,0.0
893,0.0
894,0.0
895,769.23
896,769.23
897,769.23
898,769.23
899,769.23
900,629.29
901,336.37
902,226.99
903,184.97
904,150.3
905,51.72
906,6.69
907,-0.0
908,0.0
909,0.0
910,0.0
911,0.0
912,0.0
913,0.0
914,0.0
915,0.0
916,0.0
917,0.0
918,0.0
919,162.65
920,100.1
921,196.17
922,263.36
923,403.87
924,650.8
925,624.21
926,575.58
927,515.53
928,341.6
929,130.97
930,10.14
931,-0.0
932,0.0
933,0.0
934,0.0
935,0.0
936,0.0
937,0.0
938,0.0
939,0.0
940,0.0
941,0.0
942,0.0
943,452.55
944,769.23
945,769.23
946,769.23
947,769.23
948,769.23
949,687.94
950,636.15
951,387.1
952,205.01
953,91.6
954,10.18
955,-0.0
956,0.0
957,0.0
958,0.0
959,0.0
960,0.0
961,0.0
962,0.0
963,0.0
964,0.0
965,0.0
966,0.0
967,769.23
968,769.23
969,769.23
970,769.23
971,769.23
972,769.23
973,531.91
974,395.74
975,362.83
976,297.13
977,156.86
978,7.59
979,-0.0
980,0.0
981,0.0
982,0.0
983,0.0
984,0.0
985,0.0
986,0.0
987,0.0
