,Location,Year,LCOH,Capex,Step,RE_supply_proportion,FLH,EI_market,EI_MEF,EI_AEF,EI_L,Sell_amount,Purchase_amount,Curtailment,LGCs,battery class,battery_energy_capacity,battery_power_capacity,wind_capacity,pv_capacity,electrolyser_capacity,hydrogen_storage_capacity,hydrogen_storage_type,hydrogen_storage_cost,Grid_max_power_export,grid_cost,production_amount,H2_initial_storage_level,Simultaneity_obligation_interval,ratio,Simultaneity_obligation,Batch_interval
11,QLD1,2021,2009.6460719762424,96106616.61077058,60,0.6915570920713912,14.75263199405948,-10.012552447071098,-4.538762999234978,-7.694193546371623,-8.130132721335087,76238.7017540226,-28126.13551269714,-2.319211489520967e-11,-53.400279717712515,AA,0,0,18580.55114,18767.39498,16482.09525,79920.31866,Lined Rock,180.24811375902965,24431.0,-2060.8462169822624,4320.0,610.1852854254471,0,1,0,1
12,QLD1,2021,2006.6975520241651,96106616.61077058,60,0.052637167937418274,14.75263199405948,-40.54995073717358,-14.93502405872206,-33.01764369070883,-35.83813291768601,234334.29536641494,-22251.097826136123,-2.000888343900442e-11,-216.2664039315924,AA,0,0,18580.55114,18767.39498,16482.09525,79920.31866,Lined Rock,180.24811375902965,28803.0,-20257.426492659877,4320.0,610.1852854254471,0,1,0,1
13,QLD1,2021,2007.539233422225,96106616.61077058,60,0.024615910007523,14.752631994059481,-39.75805868280229,-29.864319083092088,-31.798720679887563,-34.68852111312996,241253.22964802608,-35973.21429361311,-2.3646862246096134e-11,-212.04297964161225,AA,0,0,18580.55114,18767.39498,16482.09525,79920.31866,Lined Rock,180.24811375902965,29430.0,-15063.049864634087,4320.0,610.1852854254471,0,1,0,1
14,QLD1,2021,2008.4856889574585,96106616.61077058,60,0.05069247571880759,14.75263199405948,-44.01287426815345,-44.86661354354971,-36.16567031961302,-39.665923723150634,234735.32943015173,0.0,-7.275957614183426e-12,-234.73532943015172,AA,0,0,18580.55114,18767.39498,16482.09525,79920.31866,Lined Rock,180.24811375902965,30862.0,-9222.067132907196,4320.0,610.1852854254471,0,1,0,1
15,QLD1,2021,2008.8020173164514,96106616.61077058,60,0.39157675571494455,14.752631994059481,-28.218349545746072,-28.611987484870625,-23.805968012386646,-25.43135205974647,150497.86424397904,0.0,-1.8189894035458565e-11,-150.49786424397905,AA,0,0,18580.55114,18767.39498,16482.09525,79920.31866,Lined Rock,180.24811375902965,21735.0,-7269.869260263895,4320.0,610.1852854254471,0,1,0,1
16,QLD1,2021,2009.22392247545,96106616.61077058,60,0.33440273871697185,14.75263199405948,-30.409256274254613,-29.831012339340703,-24.975244594631125,-27.31423599784794,164524.93071801498,-2884.5204293805946,-1.5006662579253316e-11,-162.18270012935793,AA,0,0,18580.55114,18767.39498,16482.09525,79920.31866,Lined Rock,180.24811375902965,30546.0,-4666.1117075875045,4320.0,610.1852854254471,0,1,0,1
17,QLD1,2021,2009.4615294444206,96106616.61077058,60,0.6211078969839944,14.75263199405948,-10.378249347646676,-10.531888234204736,-7.017264739903085,-7.854164677063324,93666.79616764741,-47187.35588694392,-1.318767317570746e-11,-55.35066318744894,AA,0,0,18580.55114,18767.39498,16482.09525,79920.31866,Lined Rock,180.24811375902965,26055.0,-3199.737270512188,4320.0,610.1852854254471,0,1,0,1
18,QLD1,2021,2010.2568896607802,96106616.61077058,60,0.9788510534883147,14.752631994059483,5.79697417060838,6.728843063334889,7.037490126948788,6.6386455199005034,5229.914963755677,-44516.14598563264,-2.3419488570652902e-11,30.91719557657803,AA,0,0,18580.55114,18767.39498,16482.09525,79920.31866,Lined Rock,180.24811375902965,15363.0,1708.771493307752,4320.0,610.1852854254471,0,1,0,1
19,QLD1,2021,2010.2544032574679,96106616.61077058,60,0.9779409318444614,14.75263199405948,6.6716818368632635,8.973478376466202,7.814312491775399,7.618279203706517,5454.847253538139,-50538.36254122603,-9.322320693172514e-12,35.58230312993741,AA,0,0,18580.55114,18767.39498,16482.09525,79920.31866,Lined Rock,180.24811375902965,16772.0,1693.4268328661963,4320.0,610.1852854254471,0,1,0,1
20,QLD1,2021,2010.1005586510635,96106616.61077058,60,0.9678750558239149,14.752631994059477,2.6602144711052667,3.2584750035323697,3.4634863903257354,3.2632854602000085,7942.15676579832,-27253.65428369426,-1.8133050616597757e-11,14.187810512561422,AA,0,0,18580.55114,18767.39498,16482.09525,79920.31866,Lined Rock,180.24811375902965,14794.0,743.9858333411744,4320.0,610.1852854254471,0,1,0,1
