,grid_interaction,CP_grid_out,CP_grid_in,grid_pout,grid_pin,pv_pout,wind_pout,curtailment,CP_wind,CP_pv,CP_el,CP_bat,el_pin,el_pout,comp_pin,bat_pin,bat_pout,bat_e,h2_storage_pin,h2_storage_pout,H2CP_h2_storage,h2_storage_level,price,MEF_CO2,AEF_CO2,Load,Direct_pipeline_supply,Time
1280,14687.86860767382,-14687.86860767382,0.0,0.0,14687.86860767382,0.0,-27661.213295894522,0.0,27661.213295894522,0.0,-12765.90594804549,0.0,12765.90594804549,-226.8054356251737,207.43874017521534,0.0,0.0,0.0,46.80543562517367,0.0,-46.80543562517367,27820.768393554466,0.03556044666666667,-8959.02876554175,-9545.471712820608,180.0,180.0,2021-02-23 08:00:00
1281,14687.86860767382,-14687.86860767382,0.0,0.0,14687.86860767382,0.0,-27661.213295894522,0.0,27661.213295894522,0.0,-12765.90594804549,0.0,12765.90594804549,-226.8054356251737,207.43874017521534,0.0,0.0,0.0,46.80543562517367,0.0,-46.80543562517367,27867.57382917964,0.030056519166666663,-11194.040257926483,-9289.171813202218,180.0,180.0,2021-02-23 09:00:00
1282,14687.86860767382,-14687.86860767382,0.0,0.0,14687.86860767382,0.0,-27661.213295894522,0.0,27661.213295894522,0.0,-12765.90594804549,0.0,12765.90594804549,-226.8054356251737,207.43874017521534,0.0,0.0,0.0,46.80543562517367,0.0,-46.80543562517367,27914.379264804815,0.029458349999999998,-9449.81409703482,-9293.895872382504,180.0,180.0,2021-02-23 10:00:00
1283,14687.86860767382,-14687.86860767382,0.0,0.0,14687.86860767382,0.0,-27661.213295894522,0.0,27661.213295894522,0.0,-12765.90594804549,0.0,12765.90594804549,-226.8054356251737,207.43874017521534,0.0,0.0,0.0,46.80543562517367,0.0,-46.80543562517367,27961.18470042999,0.028849987499999997,-10073.156530840302,-9371.90324537294,180.0,180.0,2021-02-23 11:00:00
1284,14687.86860767382,-14687.86860767382,0.0,0.0,14687.86860767382,0.0,-27661.213295894522,0.0,27661.213295894522,0.0,-12765.90594804549,0.0,12765.90594804549,-226.8054356251737,207.43874017521534,0.0,0.0,0.0,46.80543562517367,0.0,-46.80543562517367,28007.990136055163,0.03256460666666667,-7752.879677224456,-9425.209310020287,180.0,180.0,2021-02-23 12:00:00
1285,14687.86860767382,-14687.86860767382,0.0,0.0,14687.86860767382,0.0,-27661.213295894522,0.0,27661.213295894522,0.0,-12765.90594804549,0.0,12765.90594804549,-226.8054356251737,207.43874017521534,0.0,0.0,0.0,46.80543562517367,0.0,-46.80543562517367,28054.795571680337,0.032139093333333334,-12530.32010568537,-9435.810146997059,180.0,180.0,2021-02-23 13:00:00
1286,14687.86860767382,-14687.86860767382,0.0,0.0,14687.86860767382,0.0,-27661.213295894522,0.0,27661.213295894522,0.0,-12765.90594804549,0.0,12765.90594804549,-226.8054356251737,207.43874017521534,0.0,0.0,0.0,46.80543562517367,0.0,-46.80543562517367,28101.60100730551,0.03191072166666666,-10221.847942253062,-9634.21850282813,180.0,180.0,2021-02-23 14:00:00
1287,14687.86860767382,-14687.86860767382,0.0,0.0,14687.86860767382,0.0,-27661.213295894522,0.0,27661.213295894522,0.0,-12765.90594804549,0.0,12765.90594804549,-226.8054356251737,207.43874017521534,0.0,0.0,0.0,46.80543562517367,0.0,-46.80543562517367,28148.406442930685,0.0344636625,-11167.175546488412,-9614.928219967976,180.0,180.0,2021-02-23 15:00:00
1288,27661.213295894522,-27661.213295894522,0.0,0.0,27661.213295894522,0.0,-27661.213295894522,0.0,27661.213295894522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-180.0,0.0,27968.406442930685,0.04963250083333333,-18261.694209474776,-18776.579738711614,180.0,0.0,2021-02-23 16:00:00
1289,14687.86860767382,-14687.86860767382,0.0,0.0,14687.86860767382,0.0,-27661.213295894522,0.0,27661.213295894522,0.0,-12765.90594804549,0.0,12765.90594804549,-226.8054356251737,207.43874017521534,0.0,0.0,0.0,46.80543562517367,0.0,-46.80543562517367,28015.21187855586,0.04547833083333334,-9694.507116564137,-10373.74325761286,180.0,180.0,2021-02-23 17:00:00
