,grid_interaction,CP_grid_out,CP_grid_in,grid_pout,grid_pin,pv_pout,wind_pout,curtailment,CP_wind,CP_pv,CP_el,CP_bat,el_pin,el_pout,comp_pin,bat_pin,bat_pout,bat_e,h2_storage_pin,h2_storage_pout,H2CP_h2_storage,h2_storage_level,price,MEF_CO2,AEF_CO2,Load,Direct_pipeline_supply,Time
4315,0.0,0.0,0.0,0.0,0.0,0.0,-7910.37061711009,0.0,7910.37061711009,0.0,-7795.417881347078,0.0,7795.417881347078,-138.4972720036283,114.95273576301148,0.0,0.0,0.0,0.0,-41.502727996371675,0.0,37719.84902406869,0.070086475,0.0,0.0,180.0,138.49727200362832,2021-06-29 19:00:00
4316,4457.154284621058,-4457.154284621058,0.0,0.0,4457.154284621058,0.0,-4457.154284621058,0.0,4457.154284621058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-180.0,0.0,37539.84902406869,0.07668786,-1779.9038853507066,-3178.3669465726553,180.0,0.0,2021-06-29 20:00:00
4317,0.0,0.0,0.0,0.0,0.0,0.0,-4523.649432013333,0.0,4523.649432013333,0.0,-4457.9121988275765,0.0,4457.9121988275765,-79.20148576597218,65.7372331857569,0.0,0.0,0.0,0.0,-100.79851423402782,0.0,37439.05050983466,0.06501117000000001,0.0,0.0,180.0,79.20148576597218,2021-06-29 21:00:00
4318,0.0,0.0,0.0,0.0,0.0,0.0,-4195.409480069655,0.0,4195.409480069655,0.0,-4134.442197912619,0.0,4134.442197912619,-73.45455681570643,60.96728215703633,0.0,0.0,0.0,0.0,-106.54544318429357,0.0,37332.50506665037,0.06527572416666666,0.0,0.0,180.0,73.45455681570643,2021-06-29 22:00:00
4319,-14394.55484944656,0.0,14394.55484944656,-14394.55484944656,0.0,0.0,-2376.8484888021712,0.0,2376.8484888021712,0.0,-16482.09525,0.0,16482.09525,-292.82910342639593,289.30808824873094,0.0,0.0,0.0,112.82910342639593,0.0,-112.82910342639593,37445.33417007676,0.04290191166666667,8319.254409757272,10248.856823459088,180.0,180.0,2021-06-29 23:00:00
4320,-14082.531073510318,0.0,14082.531073510318,-14082.531073510318,0.0,0.0,-2688.872264738414,0.0,2688.872264738414,0.0,-16482.09525,0.0,16482.09525,-292.82910342639593,289.30808824873094,0.0,0.0,0.0,112.82910342639593,0.0,-112.82910342639593,37558.16327350316,0.038929001666666664,2046.2282891989325,10015.736220717872,180.0,180.0,2021-06-30 00:00:00
4321,-13607.938507301313,0.0,13607.938507301313,-13607.938507301313,0.0,0.0,-3163.464830947418,0.0,3163.464830947418,0.0,-16482.09525,0.0,16482.09525,-292.82910342639593,289.30808824873094,0.0,0.0,0.0,112.82910342639593,0.0,-112.82910342639593,37670.99237692956,0.04141068916666667,4911.85960829909,9767.362347508344,180.0,180.0,2021-06-30 01:00:00
4322,-14168.772701626627,0.0,14168.772701626627,-14168.772701626627,0.0,0.0,-2602.6306366221042,0.0,2602.6306366221042,0.0,-16482.09525,0.0,16482.09525,-292.82910342639593,289.30808824873094,0.0,0.0,0.0,112.82910342639593,0.0,-112.82910342639593,37783.82148035595,0.03362431666666667,12170.574112039692,10142.776184080947,180.0,180.0,2021-06-30 02:00:00
4323,-14201.321762728345,0.0,14201.321762728345,-14201.321762728345,0.0,0.0,-2570.081575520386,0.0,2570.081575520386,0.0,-16482.09525,0.0,16482.09525,-292.82910342639593,289.30808824873094,0.0,0.0,0.0,112.82910342639593,0.0,-112.82910342639593,37896.65058378235,0.03244077833333334,12086.734991214322,10091.916782779314,180.0,180.0,2021-06-30 03:00:00
4324,-11866.40725528026,0.0,11866.40725528026,-11866.40725528026,0.0,0.0,-4904.99608296847,0.0,4904.99608296847,0.0,-16482.09525,0.0,16482.09525,-292.82910342639593,289.30808824873094,0.0,0.0,0.0,112.82910342639593,0.0,-112.82910342639593,38009.479687208746,0.03803693583333334,9279.237153841425,8418.16954409676,180.0,180.0,2021-06-30 04:00:00
