,Location,Year,LCOH,Capex,Step,RE_supply_proportion,FLH,EI_MEF,EI_MeanEI,EI_GCO,EI_L,Sell_amount,Purchase_amount,Curtailment,LGCs,wind_capacity,pv_capacity,electrolyser_capacity,hydrogen_storage_capacity,Grid_max_power_export,grid_cost,production_amount,H2_initial_storage_level,Simultaneity_obligation_interval,ratio,Simultaneity_obligation,Batch_interval,Supply_ratio,Ratio
49,VIC1,2021,2.613056368,24964411.13,60,0.386030736,5704.791939,20.82549703,27.30203293,21.9000337,26.65333227,2436072.397,-45536872.36,0,34539.86796,6192.4,0,13001,53649.47248,12073.96215,1024758.519,1277500,2873.647957,0,0.4,0,24,-1,0.476301823
50,VIC1,2021,2.603680752,27102685.26,60,0.478227755,5704.791939,17.45190774,22.5291621,17.79059579,21.85037962,3364803.885,-38698803.85,0,28058.62484,7740.5,0,13001,49458.35825,11646.34206,714660.3424,1277500,2668.55786,0,0.5,0,24,-1,0.595377279
51,VIC1,2021,2.59680485,29237065.65,60,0.569094034,5704.791939,14.15243588,17.76131279,13.66939288,17.04742698,4392233.704,-31959433.66,0,21558.82643,9288.6,0,13001,45515.79081,11130.60411,409774.1519,1277500,2630.623886,0,0.6,0,24,-1,0.714452734
52,VIC1,2021,2.592621418,31393730.53,60,0.659086386,5704.791939,10.82313899,12.95195938,9.540463629,12.24447433,5484480.994,-25284880.94,0,15046.84233,10836.7,0,13001,42535.04356,10671.23575,107415.5821,1277500,12340.40137,0,0.7,0,24,-1,0.83352819
53,VIC1,2021,2.593753067,33650045.74,60,0.744615094,5704.791939,7.632571559,8.165787363,5.372071567,7.441521683,6907787.78,-18941387.72,0,8472.619046,12384.8,0,13001,40315.788,11128.9141,-196440.8887,1277500,20399.37524,0,0.8,0,24,-1,0.952603646
54,VIC1,2021,2.607898516,35976027.04,60,0.816025743,5704.791939,4.575082,3.6341244,1.353269858,2.906200838,8945418.448,-13645002.72,-432784.3384,2134.323757,13932.9,0,13001,41391.668,11708.65624,-483646.0436,1277500,22740.50456,0,0.9,0,24,-1,1.071679102
55,VIC1,2021,2.651094367,38303616.04,60,0.858665872,5704.791939,2.165366015,-0.018485869,-1.969306127,-0.702007007,11617677.16,-10482469.63,-2364792.545,-3105.911824,15481,0,13001,40550.95904,12665.57561,-715741.8749,1277500,19748.11467,0,1,0,24,-1,1.190754557
56,VIC1,2021,2.712396918,40643126.55,60,0.886993862,5704.791939,0.091329057,-3.207910919,-4.961343306,-3.864428985,14630563.3,-8381439.211,-5017676.001,-7824.834658,17029.1,0,13001,40568.95787,13587.99209,-914761.6002,1277500,16216.58654,0,1.1,0,24,-1,1.309830013
57,VIC1,2021,2.783106872,43034891.68,60,0.905510486,5704.791939,-1.693433699,-6.127612468,-7.79540263,-6.788173843,17985176.85,-7008098.261,-8056521.507,-12294.60106,18577.2,0,13001,40700.36388,15045.00266,-1101965.253,1277500,11965.91077,0,1.2,0,24,-1,1.428905469
58,VIC1,2021,2.859387339,45430911.91,60,0.919625371,5704.791939,-3.370193362,-8.894121224,-10.52475302,-9.57184053,21439739.79,-5961225.515,-11321885.83,-16599.22467,20125.3,0,13001,41268.40704,16465.24829,-1279061.54,1277500,8697.026356,0,1.3,0,24,-1,1.547980925
59,VIC1,2021,2.939798644,47823011.01,60,0.929898642,5704.791939,-4.955528454,-11.55272642,-13.19189674,-12.26171164,25027551.74,-5199277.529,-14738925.9,-20805.73838,21673.4,0,13001,41402.13023,17925.37654,-1447837.841,1277500,6323.369655,0,1.4,0,24,-1,1.66705638
