,Location,Year,LCOH,Capex,Step,RE_supply_proportion,FLH,EI_GCO,EI_MEF,EI_MeanEI,EI_L,Sell_amount,Purchase_amount,Curtailment,LGCs,wind_capacity,pv_capacity,electrolyser_capacity,hydrogen_storage_capacity,Grid_max_power_export,grid_cost,production_amount,H2_initial_storage_level,Simultaneity_obligation_interval,ratio,Simultaneity_obligation,Batch_interval,Connection_fee
37,SA1,2021,2.22864018,33341131.49,60,0.62532789,6330.027452,9.046101096,7.806383288,1.567588273,3.798741009,7952333.895,-27363900.45,-417.7912614,14267.15327,13064.30288,0,11359.35042,33709.25073,11548.84661,-782817.5744,1277500,3029.17778,0,1,0,24,140
38,SA1,2021,2.242759783,33487650.9,60,0.624114251,6344.901085,9.134174159,7.866695291,1.619615172,3.829164364,7884944.954,-27451974.85,-304.5947148,14406.05863,13026.03469,0,11332.72198,33995.08876,11515.01752,-770471.9325,1277500,2955.052292,0,1,0,24,160
39,SA1,2021,2.256832028,33587180.28,60,0.622784342,6369.080104,9.263777986,7.965927488,1.688956906,3.872721992,7759032.723,-27548642.1,-244.3862359,14610.46466,12971.49566,0,11289.69943,34174.40019,11466.805,-751373.6599,1277500,2836.613679,0,1,0,24,180
40,SA1,2021,2.270844386,33666537.81,60,0.620582499,6397.104923,9.406098361,8.092430529,1.766658366,3.92254682,7664761.897,-27708976.15,-107.9738656,14834.92674,12909.13078,0,11240.24084,34432.65379,11411.67443,-729462.0718,1277500,2700.517487,0,1,0,24,200
41,SA1,2021,2.284801737,33813786.11,60,0.619517914,6411.267429,9.487013332,8.145338444,1.811168879,3.950367637,7599983.055,-27786361.68,-0.691549868,14962.54263,12874.23738,0,11215.41112,34606.15789,11380.82866,-717704.2449,1277500,2631.542448,0,1,0,24,220
42,SA1,2021,2.298715113,33922694.52,60,0.618598147,6435.220036,9.603475011,8.228488297,1.882870499,3.988775776,7470668.69,-27853312.91,0,15146.22139,12826.28092,0,11173.66611,34933.72641,11338.43514,-700255.6875,1277500,2517.521693,0,1,0,24,240
43,SA1,2021,2.312575944,34028978.32,60,0.617816407,6457.767351,9.712982242,8.302452525,1.945184174,4.024669044,7344190.9,-27910249.72,0,15318.93187,12781.49792,0,11134.65322,34740.86369,11298.84696,-682841.665,1277500,2410.969669,0,1,0,24,260
44,SA1,2021,2.326397045,34166150.06,60,0.616810959,6474.960665,9.792359983,8.368964807,1.997186115,4.051865025,7278517.442,-27983547.72,0,15444.12331,12747.55852,0,11105.08677,34770.5756,11268.84452,-669931.2362,1277500,2330.217775,0,1,0,24,280
45,QLD1,2021,2.28906355,64769068.02,60,0.786741014,6157.51894,-22.26869316,-15.4478983,-18.45511227,-18.39579918,47770598.21,-15577949.64,-13259969.23,-35121.3031,35444.61587,0,11677.59299,41741.80127,31334,-4970624.372,1277500,0,0,1,0,24,0
46,QLD1,2021,2.326003482,61387052.29,60,0.769316353,6163.119753,-17.89850183,-11.92520632,-14.48834192,-14.32003758,41915088.17,-16855022.41,-11312761.54,-28228.80998,32734.26003,0,11666.98083,41409.60013,28937.09303,-4430201.691,1277500,0,0,1,0,24,20
