,Location,Year,LCOH,Capex,Step,RE_supply_proportion,FLH,EI_GCO,EI_MEF,EI_MeanEI,EI_L,Sell_amount,Purchase_amount,Curtailment,LGCs,wind_capacity,pv_capacity,electrolyser_capacity,hydrogen_storage_capacity,Grid_max_power_export,grid_cost,production_amount,H2_initial_storage_level,Simultaneity_obligation_interval,ratio,Simultaneity_obligation,Batch_interval,,New_EI_GCO,New_EI_MEF,New_EI_AEF,New_EI_L,RECs,Ratio
24,TAS1,2021,2.939336159,38073408.3,60,0.834347542,5154.425214,3.14833203,1.643206942,-0.004810105,0.680132861,4861313.507,-12101894.59,0,4965.4249,14454.65364,0,13950.14905,28800.55388,10238.88469,-164619.9749,1277500,10944.52882,0,0.9,0,24,,0.094544505,0.049345554,-0.000144448,0.02042441,0.116721612,1.036164817
25,TAS1,2021,3.014282415,40533101.99,60,0.897330798,5154.425214,-0.92715742,0.080198689,-0.010610213,-0.004866002,7554320.748,-7502518.096,-1694.050129,-1462.276054,16060.72627,0,13950.14905,29228.06829,10955.08413,-353288.5089,1277500,8673.148268,0,1,0,24,,-0.027842565,0.002408369,-0.000318625,-0.000146126,-0.034373537,1.151294242
26,TAS1,2021,3.136259357,43073909.01,60,0.916081835,5154.425214,-3.691991279,-0.766371395,-0.015709156,-0.43853838,10808267.61,-6139661.113,-2609897.089,-5822.862789,17666.7989,0,13950.14905,29080.92766,12238.12671,-461889.702,1277500,7617.116332,0,1.1,0,24,,-0.110870609,-0.023014156,-0.000471746,-0.013169321,-0.136877295,1.266423666
27,TAS1,2021,3.262581221,45609302.77,60,0.932588632,5154.425214,-6.336986323,-1.733572313,-0.02025516,-0.85170252,13999856.48,-4932773.395,-5512510.564,-9994.444478,19272.87152,0,13950.14905,29672.84882,13406.47925,-561589.484,1277500,6725.370872,0,1.2,0,24,,-0.19029989,-0.052059229,-0.000608263,-0.025576652,-0.234938135,1.38155309
28,TAS1,2021,3.391624138,48140063.5,60,0.946628359,5154.425214,-8.912661173,-2.493755198,-0.024745632,-1.251417416,17228316.65,-3905935.413,-8560512.062,-14056.6971,20878.94415,0,13950.14905,30468.70344,14523.68586,-655569.7963,1277500,6560.952873,0,1.3,0,24,,-0.267647483,-0.074887543,-0.000743112,-0.037580103,-0.330428991,1.496682514
29,TAS1,2021,3.522664757,50680128.36,60,0.956243806,5154.425214,-11.45234261,-3.247474353,-0.030244274,-1.640086155,20662735.27,-3202651.406,-11726251.45,-18062.18232,22485.01678,0,13950.14905,31791.4058,15640.89246,-746832.0001,1277500,6111.183445,0,1.4,0,24,,-0.343914192,-0.097521752,-0.000908236,-0.049251836,-0.424585423,1.611811938
30,SA1,2021,2.694720591,18773747.49,60,0,4647.210797,37.62011807,29.56859989,8.929658035,14.2994428,0,-73070152.69,0,59332.96399,0,0,15472.72184,56760.439,15774.54923,1936112.858,1277500,13883.11225,0,0,0,24,,1.129733275,0.887945943,0.268157899,0.429412697,1.394732439,0
31,SA1,2021,2.644037523,21310635.33,60,0.08397952,4647.210797,33.71207378,26.50458831,7.71994294,12.86739204,1178596.856,-66930970.18,0,53169.35093,1782.103778,0,15472.72184,53918.98528,15700.88558,1494422.825,1277500,19656.07068,0,0.1,0,24,,1.012374588,0.795933583,0.231830118,0.386408169,1.24984517,0.115177135
32,SA1,2021,2.596201941,23838863.32,60,0.166411592,4647.210797,29.79029562,23.5169583,6.533266236,11.43526965,2470828.344,-60905056.28,0,46984.07735,3564.207556,0,15472.72184,50253.46989,15700.88558,1059162.282,1277500,27520.03351,0,0.2,0,24,,0.894603472,0.706214964,0.196194181,0.343401491,1.104448731,0.230354271
33,SA1,2021,2.551376426,26380723.46,60,0.24639982,4647.210797,25.84798323,20.47786946,5.326946165,10.00344067,3941800.177,-55059381.98,0,40766.41799,5346.311334,0,15472.72184,47359.87647,15700.88558,628042.392,1277500,31158.97431,0,0.3,0,24,,0.776215713,0.614951035,0.159968353,0.300403624,0.958291003,0.345531406
