,Location,Year,LCOH,Capex,Step,RE_supply_proportion,FLH,EI_GCO,EI_MEF,EI_MeanEI,EI_L,Sell_amount,Purchase_amount,Curtailment,LGCs,wind_capacity,pv_capacity,electrolyser_capacity,hydrogen_storage_capacity,Grid_max_power_export,grid_cost,production_amount,H2_initial_storage_level,Simultaneity_obligation_interval,ratio,Simultaneity_obligation,Batch_interval,,,Updated AEF
45,TAS1,2021,2.703169636,18169363.24,60,0,5154.425214,37.61455911,15.17826523,6.488954943,6.86271832,0,-73059355.44,0,59324.19662,0,0,13950.14905,56536.46999,14199.50401,2107488.001,1277500,0,0,0,0,24,,,0.194863512
46,TAS1,2021,2.717394083,20388139.7,60,0.09547977,5154.425214,33.80747413,13.77777572,5.864308416,6.175460903,337471.0601,-66080398.59,0,53319.81259,1606.072627,0,13950.14905,52698.55792,13887.19539,1831317.806,1277500,0,0,0.1,0,24,,,0.176105358
47,TAS1,2021,2.733511817,22597957.27,60,0.190847657,5154.425214,29.99910724,12.25437358,5.279284164,5.488164095,683885.0472,-59109965.31,0,47313.40678,3212.145254,0,13950.14905,48665.73226,13540.62149,1559795.664,1277500,0,0,0.2,0,24,,,0.158537062
48,TAS1,2021,2.751237152,24800380.64,60,0.285924397,5154.425214,26.18830534,10.78210052,4.678170066,4.800900101,1052235.507,-52161817.84,0,41303.16058,4818.217881,0,13950.14905,44955.18555,13112.77027,1292195.401,1277500,0,0,0.3,0,24,,,0.140485588
49,TAS1,2021,2.770963528,26973925.24,60,0.38038577,5154.425214,22.37220226,9.252962668,4.059806409,4.113659626,1466139.759,-45259474.53,0,35284.55356,6424.290508,0,13950.14905,41539.92059,12473.15847,1031770.117,1277500,303.2661815,0,0.4,0,24,,,0.121916108
50,TAS1,2021,2.793040853,29127404.88,60,0.474074742,5154.425214,18.54961083,7.676966926,3.414512704,3.426470761,1936848.869,-38414485.52,0,29255.71337,8030.363135,0,13950.14905,38761.14761,11639.10317,778158.5329,1277500,3232.872718,0,0.5,0,24,,,0.102537919
51,TAS1,2021,2.817466259,31247184.3,60,0.567001617,5154.425214,14.72117848,6.117997336,2.731431402,2.739420356,2462924.807,-31626337.34,0,23217.66111,9636.435762,0,13950.14905,36590.0774,10529.0712,532944.4865,1277500,7618.162117,0,0.6,0,24,,,0.082024967
52,TAS1,2021,2.84453582,33473751.22,60,0.6582446,5154.425214,10.88045448,4.59740066,2.058669377,2.052749931,3109589.117,-24962822.75,0,17160.22296,11242.50839,0,13950.14905,35731.21836,9938.379875,280316.6054,1277500,12646.22789,0,0.7,0,24,,,0.061821903
53,TAS1,2021,2.885179229,35988770.16,60,0.744746807,5154.425214,6.999919103,3.22224394,1.38254298,1.366298907,4100325.399,-18645715.85,0,11039.99587,12848.58102,0,13950.14905,34686.47031,11159.70608,19904.87019,1277500,14109.79858,0,0.8,0,24,,,0.041517807
54,TAS1,2021,2.939336159,38073408.3,60,0.834347542,5154.425214,3.14833203,1.643206942,0.742438025,0.680132861,4861313.507,-12101894.59,0,4965.4249,14454.65364,0,13950.14905,28800.55388,10238.88469,-164619.9749,1277500,10944.52882,0,0.9,0,24,,,0.022295436
