,Location,Year,LCOH,Capex,Step,RE_supply_proportion,FLH,EI_GCO,EI_MEF,EI_MeanEI,EI_L,Sell_amount,Purchase_amount,Curtailment,LGCs,wind_capacity,pv_capacity,electrolyser_capacity,hydrogen_storage_capacity,Grid_max_power_export,grid_cost,production_amount,H2_initial_storage_level,Simultaneity_obligation_interval,ratio,Simultaneity_obligation,Batch_interval
12,NSW1,2021,4.648161452580622,74587062.2064869,60,0.9999999999999999,3894.7241612999715,-0.0,0.0,0.0,-0.0,0.0,0.0,-2733271.3614708586,-0.0,28096.762503363854,0.0,22787.57380756138,106792.08477787086,0,0.0,1576800.0,74179.66929617748,0,0,0,1
13,NSW1,2021,4.6392755463925335,74411734.99199995,60,1.0,3890.419624557546,-0.0,0.0,0.0,-0.0,0.0,0.0,-2480462.6983266147,-0.0,28030.3282860085,0.0,22812.78701286869,105591.71208914675,0,0.0,1576799.999999995,73601.92225675723,0,0,0,24
14,NSW1,2021,5.926488719703956,79259531.74578299,60,1.0,4077.2714508981635,-0.0,0.0,0.0,-0.0,0.0,0.0,-22935268.583595727,-0.0,20243.915808979844,18735.78677426314,17635.568508483888,19288.40084050344,0,0.0,1277500.0000000042,0.0,0,0,0,720
15,NSW1,2021,4.174996053693903,64918258.98401815,60,0.9999999999999972,3797.6369959565127,-0.0,0.0,0.0,-0.0,0.0,0.0,-934446.2750820825,-0.0,27479.256297129486,0.0,23370.141585468362,0.0,0,0.0,1576800.000000006,0.0,0,0,0,8760
16,VIC1,2021,5.269905245256289,86856777.28059077,60,1.0,4630.018271984958,-0.0,0.0,0.0,-0.0,0.0,0.0,-22120585.99288541,-0.0,24161.576367976137,18053.867346963576,19168.674737791935,21278.354359545523,0,0.0,1576800.0,2366.9697252962924,0,0,0,1
17,VIC1,2021,5.2392646691500335,86240433.00455351,60,1.0,4614.5559891386865,-0.0,0.0,0.0,-0.0,0.0,0.0,-22059856.16348541,-0.0,24306.995403894824,17643.337773373958,19232.90442127194,20434.244876400076,0,0.0,1576799.9999999763,1793.7999885398517,0,0,0,24
18,VIC1,2021,5.113989685569554,67278883.18413724,60,1.0,4374.956261132306,-0.0,0.0,0.0,-0.0,0.0,0.0,-19190617.618357237,-0.0,19768.48999067599,15033.824782738751,16435.592885537077,7946.661928788395,0,0.0,1277499.9999999765,0.0,0,0,0,720
19,VIC1,2021,3.8642658585644125,59921958.69666599,60,1.0,4054.1056517342054,-0.0,0.0,0.0,-0.0,0.0,0.0,-1.8723953374913713e-10,-0.0,25129.5544640334,0.0,21891.712231956313,0.0,0,0.0,1576800.0000000985,0.0,0,0,0,8760
20,QLD1,2023,5.106955912600414,83462766.8268114,60,1.0000000000000004,4294.836637395374,-0.0,0.0,0.0,-0.0,0.0,0.0,-13966936.115742197,-0.0,16159.929963335098,26073.1478459886,20664.654276474987,16722.014593931446,0,0.0,1576800.0,1835.943671487456,0,0,0,1
21,QLD1,2023,5.0772524433031965,83043369.2954916,60,1.0,4341.411135502527,-0.0,0.0,0.0,-0.0,0.0,0.0,-13043405.635018373,-0.0,16051.369112856351,25780.826174058613,20442.96462961936,17309.78765671737,0,0.0,1576799.9999999977,981.0149020683555,0,0,0,24
